able,unable,acceptable,unacceptable,12
able,unable,affected,unaffected,12
able,unable,authorized,unauthorized,12
able,unable,available,unavailable,12
able,unable,avoidable,unavoidable,12
able,unable,aware,unaware,12
able,unable,believable,unbelievable,12
able,unable,biased,unbiased,12
able,unable,certain,uncertain,12
able,unable,changed,unchanged,12
able,unable,comfortable,uncomfortable,12
able,unable,conditional,unconditional,12
able,unable,conscious,unconscious,12
able,unable,controlled,uncontrolled,12
able,unable,desirable,undesirable,12
able,unable,employed,unemployed,12
able,unable,expected,unexpected,12
able,unable,finished,unfinished,12
able,unable,forgettable,unforgettable,12
able,unable,fortunate,unfortunate,12
able,unable,happy,unhappy,12
able,unable,healthy,unhealthy,12
able,unable,identified,unidentified,12
able,unable,intended,unintended,12
able,unable,interrupted,uninterrupted,12
able,unable,known,unknown,12
able,unable,lawful,unlawful,12
able,unable,lucky,unlucky,12
able,unable,noticed,unnoticed,12
able,unable,paid,unpaid,12
able,unable,pleasant,unpleasant,12
able,unable,popular,unpopular,12
able,unable,predictable,unpredictable,12
able,unable,published,unpublished,12
able,unable,realistic,unrealistic,12
able,unable,reasonable,unreasonable,12
able,unable,related,unrelated,12
able,unable,reliable,unreliable,12
able,unable,resolved,unresolved,12
able,unable,restricted,unrestricted,12
able,unable,satisfactory,unsatisfactory,12
able,unable,specified,unspecified,12
able,unable,successful,unsuccessful,12
able,unable,suitable,unsuitable,12
able,unable,sustainable,unsustainable,12
able,unable,used,unused,12
able,unable,usual,unusual,12
able,unable,veiled,unveiled,12
able,unable,wanted,unwanted,12
acceptable,unacceptable,affected,unaffected,12
acceptable,unacceptable,authorized,unauthorized,12
acceptable,unacceptable,available,unavailable,12
acceptable,unacceptable,avoidable,unavoidable,12
acceptable,unacceptable,aware,unaware,12
acceptable,unacceptable,believable,unbelievable,12
acceptable,unacceptable,biased,unbiased,12
acceptable,unacceptable,certain,uncertain,12
acceptable,unacceptable,changed,unchanged,12
acceptable,unacceptable,comfortable,uncomfortable,12
acceptable,unacceptable,conditional,unconditional,12
acceptable,unacceptable,conscious,unconscious,12
acceptable,unacceptable,controlled,uncontrolled,12
acceptable,unacceptable,desirable,undesirable,12
acceptable,unacceptable,employed,unemployed,12
acceptable,unacceptable,expected,unexpected,12
acceptable,unacceptable,finished,unfinished,12
acceptable,unacceptable,forgettable,unforgettable,12
acceptable,unacceptable,fortunate,unfortunate,12
acceptable,unacceptable,happy,unhappy,12
acceptable,unacceptable,healthy,unhealthy,12
acceptable,unacceptable,identified,unidentified,12
acceptable,unacceptable,intended,unintended,12
acceptable,unacceptable,interrupted,uninterrupted,12
acceptable,unacceptable,known,unknown,12
acceptable,unacceptable,lawful,unlawful,12
acceptable,unacceptable,lucky,unlucky,12
acceptable,unacceptable,noticed,unnoticed,12
acceptable,unacceptable,paid,unpaid,12
acceptable,unacceptable,pleasant,unpleasant,12
acceptable,unacceptable,popular,unpopular,12
acceptable,unacceptable,predictable,unpredictable,12
acceptable,unacceptable,published,unpublished,12
acceptable,unacceptable,realistic,unrealistic,12
acceptable,unacceptable,reasonable,unreasonable,12
acceptable,unacceptable,related,unrelated,12
acceptable,unacceptable,reliable,unreliable,12
acceptable,unacceptable,resolved,unresolved,12
acceptable,unacceptable,restricted,unrestricted,12
acceptable,unacceptable,satisfactory,unsatisfactory,12
acceptable,unacceptable,specified,unspecified,12
acceptable,unacceptable,successful,unsuccessful,12
acceptable,unacceptable,suitable,unsuitable,12
acceptable,unacceptable,sustainable,unsustainable,12
acceptable,unacceptable,used,unused,12
acceptable,unacceptable,usual,unusual,12
acceptable,unacceptable,veiled,unveiled,12
acceptable,unacceptable,wanted,unwanted,12
affected,unaffected,authorized,unauthorized,12
affected,unaffected,available,unavailable,12
affected,unaffected,avoidable,unavoidable,12
affected,unaffected,aware,unaware,12
affected,unaffected,believable,unbelievable,12
affected,unaffected,biased,unbiased,12
affected,unaffected,certain,uncertain,12
affected,unaffected,changed,unchanged,12
affected,unaffected,comfortable,uncomfortable,12
affected,unaffected,conditional,unconditional,12
affected,unaffected,conscious,unconscious,12
affected,unaffected,controlled,uncontrolled,12
affected,unaffected,desirable,undesirable,12
affected,unaffected,employed,unemployed,12
affected,unaffected,expected,unexpected,12
affected,unaffected,finished,unfinished,12
affected,unaffected,forgettable,unforgettable,12
affected,unaffected,fortunate,unfortunate,12
affected,unaffected,happy,unhappy,12
affected,unaffected,healthy,unhealthy,12
affected,unaffected,identified,unidentified,12
affected,unaffected,intended,unintended,12
affected,unaffected,interrupted,uninterrupted,12
affected,unaffected,known,unknown,12
affected,unaffected,lawful,unlawful,12
affected,unaffected,lucky,unlucky,12
affected,unaffected,noticed,unnoticed,12
affected,unaffected,paid,unpaid,12
affected,unaffected,pleasant,unpleasant,12
affected,unaffected,popular,unpopular,12
affected,unaffected,predictable,unpredictable,12
affected,unaffected,published,unpublished,12
affected,unaffected,realistic,unrealistic,12
affected,unaffected,reasonable,unreasonable,12
affected,unaffected,related,unrelated,12
affected,unaffected,reliable,unreliable,12
affected,unaffected,resolved,unresolved,12
affected,unaffected,restricted,unrestricted,12
affected,unaffected,satisfactory,unsatisfactory,12
affected,unaffected,specified,unspecified,12
affected,unaffected,successful,unsuccessful,12
affected,unaffected,suitable,unsuitable,12
affected,unaffected,sustainable,unsustainable,12
affected,unaffected,used,unused,12
affected,unaffected,usual,unusual,12
affected,unaffected,veiled,unveiled,12
affected,unaffected,wanted,unwanted,12
authorized,unauthorized,available,unavailable,12
authorized,unauthorized,avoidable,unavoidable,12
authorized,unauthorized,aware,unaware,12
authorized,unauthorized,believable,unbelievable,12
authorized,unauthorized,biased,unbiased,12
authorized,unauthorized,certain,uncertain,12
authorized,unauthorized,changed,unchanged,12
authorized,unauthorized,comfortable,uncomfortable,12
authorized,unauthorized,conditional,unconditional,12
authorized,unauthorized,conscious,unconscious,12
authorized,unauthorized,controlled,uncontrolled,12
authorized,unauthorized,desirable,undesirable,12
authorized,unauthorized,employed,unemployed,12
authorized,unauthorized,expected,unexpected,12
authorized,unauthorized,finished,unfinished,12
authorized,unauthorized,forgettable,unforgettable,12
authorized,unauthorized,fortunate,unfortunate,12
authorized,unauthorized,happy,unhappy,12
authorized,unauthorized,healthy,unhealthy,12
authorized,unauthorized,identified,unidentified,12
authorized,unauthorized,intended,unintended,12
authorized,unauthorized,interrupted,uninterrupted,12
authorized,unauthorized,known,unknown,12
authorized,unauthorized,lawful,unlawful,12
authorized,unauthorized,lucky,unlucky,12
authorized,unauthorized,noticed,unnoticed,12
authorized,unauthorized,paid,unpaid,12
authorized,unauthorized,pleasant,unpleasant,12
authorized,unauthorized,popular,unpopular,12
authorized,unauthorized,predictable,unpredictable,12
authorized,unauthorized,published,unpublished,12
authorized,unauthorized,realistic,unrealistic,12
authorized,unauthorized,reasonable,unreasonable,12
