attractive,attractiveness,aware,awareness,15
attractive,attractiveness,broken,brokenness,15
attractive,attractiveness,careful,carefulness,15
attractive,attractiveness,cheap,cheapness,15
attractive,attractiveness,competitive,competitiveness,15
attractive,attractiveness,connected,connectedness,15
attractive,attractiveness,conscious,consciousness,15
attractive,attractiveness,creative,creativeness,15
attractive,attractiveness,dangerous,dangerousness,15
attractive,attractiveness,distinct,distinctness,15
attractive,attractiveness,distinctive,distinctiveness,15
attractive,attractiveness,effective,effectiveness,15
attractive,attractiveness,extensive,extensiveness,15
attractive,attractiveness,fixed,fixedness,15
attractive,attractiveness,foreign,foreignness,15
attractive,attractiveness,happy,happiness,15
attractive,attractiveness,helpful,helpfulness,15
attractive,attractiveness,hot,hotness,15
attractive,attractiveness,huge,hugeness,15
attractive,attractiveness,impressive,impressiveness,15
attractive,attractiveness,innovative,innovativeness,15
attractive,attractiveness,mad,madness,15
attractive,attractiveness,marked,markedness,15
attractive,attractiveness,massive,massiveness,15
attractive,attractiveness,nice,niceness,15
attractive,attractiveness,obvious,obviousness,15
attractive,attractiveness,odd,oddness,15
attractive,attractiveness,prepared,preparedness,15
attractive,attractiveness,pure,pureness,15
attractive,attractiveness,random,randomness,15
attractive,attractiveness,rare,rareness,15
attractive,attractiveness,reasonable,reasonableness,15
attractive,attractiveness,related,relatedness,15
attractive,attractiveness,righteous,righteousness,15
attractive,attractiveness,sacred,sacredness,15
attractive,attractiveness,sad,sadness,15
attractive,attractiveness,same,sameness,15
attractive,attractiveness,serious,seriousness,15
attractive,attractiveness,strange,strangeness,15
attractive,attractiveness,unique,uniqueness,15
attractive,attractiveness,useful,usefulness,15
attractive,attractiveness,vast,vastness,15
attractive,attractiveness,weak,weakness,15
aware,awareness,broken,brokenness,15
aware,awareness,careful,carefulness,15
aware,awareness,cheap,cheapness,15
aware,awareness,competitive,competitiveness,15
aware,awareness,connected,connectedness,15
aware,awareness,conscious,consciousness,15
aware,awareness,creative,creativeness,15
aware,awareness,dangerous,dangerousness,15
aware,awareness,distinct,distinctness,15
aware,awareness,distinctive,distinctiveness,15
aware,awareness,effective,effectiveness,15
aware,awareness,extensive,extensiveness,15
aware,awareness,fixed,fixedness,15
aware,awareness,foreign,foreignness,15
aware,awareness,happy,happiness,15
aware,awareness,helpful,helpfulness,15
aware,awareness,hot,hotness,15
aware,awareness,huge,hugeness,15
aware,awareness,impressive,impressiveness,15
aware,awareness,innovative,innovativeness,15
aware,awareness,mad,madness,15
aware,awareness,marked,markedness,15
aware,awareness,massive,massiveness,15
aware,awareness,nice,niceness,15
aware,awareness,obvious,obviousness,15
aware,awareness,odd,oddness,15
aware,awareness,prepared,preparedness,15
aware,awareness,pure,pureness,15
aware,awareness,random,randomness,15
aware,awareness,rare,rareness,15
aware,awareness,reasonable,reasonableness,15
aware,awareness,related,relatedness,15
aware,awareness,righteous,righteousness,15
aware,awareness,sacred,sacredness,15
aware,awareness,sad,sadness,15
aware,awareness,same,sameness,15
aware,awareness,serious,seriousness,15
aware,awareness,strange,strangeness,15
aware,awareness,unique,uniqueness,15
aware,awareness,useful,usefulness,15
aware,awareness,vast,vastness,15
aware,awareness,weak,weakness,15
broken,brokenness,careful,carefulness,15
broken,brokenness,cheap,cheapness,15
broken,brokenness,competitive,competitiveness,15
broken,brokenness,connected,connectedness,15
broken,brokenness,conscious,consciousness,15
broken,brokenness,creative,creativeness,15
broken,brokenness,dangerous,dangerousness,15
broken,brokenness,distinct,distinctness,15
broken,brokenness,distinctive,distinctiveness,15
broken,brokenness,effective,effectiveness,15
broken,brokenness,extensive,extensiveness,15
broken,brokenness,fixed,fixedness,15
broken,brokenness,foreign,foreignness,15
broken,brokenness,happy,happiness,15
broken,brokenness,helpful,helpfulness,15
broken,brokenness,hot,hotness,15
broken,brokenness,huge,hugeness,15
broken,brokenness,impressive,impressiveness,15
broken,brokenness,innovative,innovativeness,15
broken,brokenness,mad,madness,15
broken,brokenness,marked,markedness,15
broken,brokenness,massive,massiveness,15
broken,brokenness,nice,niceness,15
broken,brokenness,obvious,obviousness,15
broken,brokenness,odd,oddness,15
broken,brokenness,prepared,preparedness,15
broken,brokenness,pure,pureness,15
broken,brokenness,random,randomness,15
broken,brokenness,rare,rareness,15
broken,brokenness,reasonable,reasonableness,15
broken,brokenness,related,relatedness,15
broken,brokenness,righteous,righteousness,15
broken,brokenness,sacred,sacredness,15
broken,brokenness,sad,sadness,15
broken,brokenness,same,sameness,15
broken,brokenness,serious,seriousness,15
broken,brokenness,strange,strangeness,15
broken,brokenness,unique,uniqueness,15
broken,brokenness,useful,usefulness,15
broken,brokenness,vast,vastness,15
broken,brokenness,weak,weakness,15
careful,carefulness,cheap,cheapness,15
careful,carefulness,competitive,competitiveness,15
careful,carefulness,connected,connectedness,15
careful,carefulness,conscious,consciousness,15
careful,carefulness,creative,creativeness,15
careful,carefulness,dangerous,dangerousness,15
careful,carefulness,distinct,distinctness,15
careful,carefulness,distinctive,distinctiveness,15
careful,carefulness,effective,effectiveness,15
careful,carefulness,extensive,extensiveness,15
careful,carefulness,fixed,fixedness,15
careful,carefulness,foreign,foreignness,15
careful,carefulness,happy,happiness,15
careful,carefulness,helpful,helpfulness,15
careful,carefulness,hot,hotness,15
careful,carefulness,huge,hugeness,15
careful,carefulness,impressive,impressiveness,15
careful,carefulness,innovative,innovativeness,15
careful,carefulness,mad,madness,15
careful,carefulness,marked,markedness,15
careful,carefulness,massive,massiveness,15
careful,carefulness,nice,niceness,15
careful,carefulness,obvious,obviousness,15
careful,carefulness,odd,oddness,15
careful,carefulness,prepared,preparedness,15
careful,carefulness,pure,pureness,15
careful,carefulness,random,randomness,15
careful,carefulness,rare,rareness,15
careful,carefulness,reasonable,reasonableness,15
careful,carefulness,related,relatedness,15
careful,carefulness,righteous,righteousness,15
careful,carefulness,sacred,sacredness,15
careful,carefulness,sad,sadness,15
careful,carefulness,same,sameness,15
careful,carefulness,serious,seriousness,15
careful,carefulness,strange,strangeness,15
careful,carefulness,unique,uniqueness,15
careful,carefulness,useful,usefulness,15
careful,carefulness,vast,vastness,15
careful,carefulness,weak,weakness,15
cheap,cheapness,competitive,competitiveness,15
cheap,cheapness,connected,connectedness,15
cheap,cheapness,conscious,consciousness,15
cheap,cheapness,creative,creativeness,15
cheap,cheapness,dangerous,dangerousness,15
cheap,cheapness,distinct,distinctness,15
cheap,cheapness,distinctive,distinctiveness,15
cheap,cheapness,effective,effectiveness,15
cheap,cheapness,extensive,extensiveness,15
cheap,cheapness,fixed,fixedness,15
cheap,cheapness,foreign,foreignness,15
cheap,cheapness,happy,happiness,15
cheap,cheapness,helpful,helpfulness,15
cheap,cheapness,hot,hotness,15
cheap,cheapness,huge,hugeness,15
cheap,cheapness,impressive,impressiveness,15
cheap,cheapness,innovative,innovativeness,15
cheap,cheapness,mad,madness,15
cheap,cheapness,marked,markedness,15
cheap,cheapness,massive,massiveness,15
cheap,cheapness,nice,niceness,15
cheap,cheapness,obvious,obviousness,15
cheap,cheapness,odd,oddness,15
cheap,cheapness,prepared,preparedness,15
cheap,cheapness,pure,pureness,15
cheap,cheapness,random,randomness,15
cheap,cheapness,rare,rareness,15
cheap,cheapness,reasonable,reasonableness,15
cheap,cheapness,related,relatedness,15
cheap,cheapness,righteous,righteousness,15
cheap,cheapness,sacred,sacredness,15
cheap,cheapness,sad,sadness,15
cheap,cheapness,same,sameness,15
cheap,cheapness,serious,seriousness,15
cheap,cheapness,strange,strangeness,15
cheap,cheapness,unique,uniqueness,15
cheap,cheapness,useful,usefulness,15
