acquire,reacquire,adjust,readjust,16
acquire,reacquire,appear,reappear,16
acquire,reacquire,apply,reapply,16
acquire,reacquire,appoint,reappoint,16
acquire,reacquire,arrange,rearrange,16
acquire,reacquire,assess,reassess,16
acquire,reacquire,assign,reassign,16
acquire,reacquire,assure,reassure,16
acquire,reacquire,calculate,recalculate,16
acquire,reacquire,commend,recommend,16
acquire,reacquire,configure,reconfigure,16
acquire,reacquire,confirm,reconfirm,16
acquire,reacquire,connect,reconnect,16
acquire,reacquire,consider,reconsider,16
acquire,reacquire,create,recreate,16
acquire,reacquire,decorate,redecorate,16
acquire,reacquire,deem,redeem,16
acquire,reacquire,define,redefine,16
acquire,reacquire,develop,redevelop,16
acquire,reacquire,discover,rediscover,16
acquire,reacquire,distribute,redistribute,16
acquire,reacquire,emerge,reemerge,16
acquire,reacquire,engage,reengage,16
acquire,reacquire,establish,reestablish,16
acquire,reacquire,evaluate,reevaluate,16
acquire,reacquire,examine,reexamine,16
acquire,reacquire,generate,regenerate,16
acquire,reacquire,grow,regrow,16
acquire,reacquire,install,reinstall,16
acquire,reacquire,integrate,reintegrate,16
acquire,reacquire,interpret,reinterpret,16
acquire,reacquire,introduce,reintroduce,16
acquire,reacquire,invest,reinvest,16
acquire,reacquire,investigate,reinvestigate,16
acquire,reacquire,learn,relearn,16
acquire,reacquire,locate,relocate,16
acquire,reacquire,marry,remarry,16
acquire,reacquire,negotiate,renegotiate,16
acquire,reacquire,occur,reoccur,16
acquire,reacquire,organize,reorganize,16
acquire,reacquire,publish,republish,16
acquire,reacquire,send,resend,16
acquire,reacquire,solve,resolve,16
acquire,reacquire,submit,resubmit,16
acquire,reacquire,tell,retell,16
acquire,reacquire,unite,reunite,16
acquire,reacquire,write,rewrite,16
adjust,readjust,appear,reappear,16
adjust,readjust,apply,reapply,16
adjust,readjust,appoint,reappoint,16
adjust,readjust,arrange,rearrange,16
adjust,readjust,assess,reassess,16
adjust,readjust,assign,reassign,16
adjust,readjust,assure,reassure,16
