abuja,nigeria,amman,jordan,21
abuja,nigeria,ankara,turkey,21
abuja,nigeria,athens,greece,21
abuja,nigeria,baghdad,iraq,21
abuja,nigeria,bangkok,thailand,21
abuja,nigeria,beijing,china,21
abuja,nigeria,beirut,lebanon,21
abuja,nigeria,belgrade,serbia,21
abuja,nigeria,berlin,germany,21
abuja,nigeria,bern,switzerland,21
abuja,nigeria,brussels,belgium,21
abuja,nigeria,bucharest,romania,21
abuja,nigeria,budapest,hungary,21
abuja,nigeria,cairo,egypt,21
abuja,nigeria,canberra,australia,21
abuja,nigeria,conakry,guinea,21
abuja,nigeria,copenhagen,denmark,21
abuja,nigeria,damascus,syria,21
abuja,nigeria,dhaka,bangladesh,21
abuja,nigeria,dublin,ireland,21
abuja,nigeria,hanoi,vietnam,21
abuja,nigeria,havana,cuba,21
abuja,nigeria,helsinki,finland,21
abuja,nigeria,islamabad,pakistan,21
abuja,nigeria,jakarta,indonesia,21
abuja,nigeria,kabul,afghanistan,21
abuja,nigeria,kiev,ukraine,21
abuja,nigeria,kingston,jamaica,21
abuja,nigeria,lima,peru,21
abuja,nigeria,lisbon,portugal,21
abuja,nigeria,london,england,21
abuja,nigeria,madrid,spain,21
abuja,nigeria,manila,philippines,21
abuja,nigeria,moscow,russia,21
abuja,nigeria,nairobi,kenya,21
abuja,nigeria,oslo,norway,21
abuja,nigeria,ottawa,canada,21
abuja,nigeria,paris,france,21
abuja,nigeria,rome,italy,21
abuja,nigeria,santiago,chile,21
abuja,nigeria,sofia,bulgaria,21
abuja,nigeria,stockholm,sweden,21
abuja,nigeria,taipei,taiwan,21
abuja,nigeria,tbilisi,georgia,21
abuja,nigeria,tehran,iran,21
abuja,nigeria,tokyo,japan,21
abuja,nigeria,vienna,austria,21
abuja,nigeria,warsaw,poland,21
abuja,nigeria,zagreb,croatia,21
amman,jordan,ankara,turkey,21
amman,jordan,athens,greece,21
amman,jordan,baghdad,iraq,21
amman,jordan,bangkok,thailand,21
amman,jordan,beijing,china,21
amman,jordan,beirut,lebanon,21
amman,jordan,belgrade,serbia,21
amman,jordan,berlin,germany,21
amman,jordan,bern,switzerland,21
amman,jordan,brussels,belgium,21
amman,jordan,bucharest,romania,21
amman,jordan,budapest,hungary,21
amman,jordan,cairo,egypt,21
amman,jordan,canberra,australia,21
amman,jordan,conakry,guinea,21
amman,jordan,copenhagen,denmark,21
amman,jordan,damascus,syria,21
amman,jordan,dhaka,bangladesh,21
amman,jordan,dublin,ireland,21
amman,jordan,hanoi,vietnam,21
amman,jordan,havana,cuba,21
amman,jordan,helsinki,finland,21
amman,jordan,islamabad,pakistan,21
amman,jordan,jakarta,indonesia,21
amman,jordan,kabul,afghanistan,21
amman,jordan,kiev,ukraine,21
amman,jordan,kingston,jamaica,21
amman,jordan,lima,peru,21
amman,jordan,lisbon,portugal,21
amman,jordan,london,england,21
amman,jordan,madrid,spain,21
amman,jordan,manila,philippines,21
amman,jordan,moscow,russia,21
amman,jordan,nairobi,kenya,21
amman,jordan,oslo,norway,21
amman,jordan,ottawa,canada,21
amman,jordan,paris,france,21
amman,jordan,rome,italy,21
amman,jordan,santiago,chile,21
amman,jordan,sofia,bulgaria,21
amman,jordan,stockholm,sweden,21
amman,jordan,taipei,taiwan,21
amman,jordan,tbilisi,georgia,21
amman,jordan,tehran,iran,21
amman,jordan,tokyo,japan,21
amman,jordan,vienna,austria,21
amman,jordan,warsaw,poland,21
amman,jordan,zagreb,croatia,21
ankara,turkey,athens,greece,21
ankara,turkey,baghdad,iraq,21
ankara,turkey,bangkok,thailand,21
ankara,turkey,beijing,china,21
ankara,turkey,beirut,lebanon,21
ankara,turkey,belgrade,serbia,21
ankara,turkey,berlin,germany,21
ankara,turkey,bern,switzerland,21
ankara,turkey,brussels,belgium,21
ankara,turkey,bucharest,romania,21
ankara,turkey,budapest,hungary,21
ankara,turkey,cairo,egypt,21
ankara,turkey,canberra,australia,21
ankara,turkey,conakry,guinea,21
ankara,turkey,copenhagen,denmark,21
ankara,turkey,damascus,syria,21
ankara,turkey,dhaka,bangladesh,21
ankara,turkey,dublin,ireland,21
ankara,turkey,hanoi,vietnam,21
ankara,turkey,havana,cuba,21
ankara,turkey,helsinki,finland,21
ankara,turkey,islamabad,pakistan,21
ankara,turkey,jakarta,indonesia,21
ankara,turkey,kabul,afghanistan,21
ankara,turkey,kiev,ukraine,21
ankara,turkey,kingston,jamaica,21
ankara,turkey,lima,peru,21
ankara,turkey,lisbon,portugal,21
ankara,turkey,london,england,21
ankara,turkey,madrid,spain,21
ankara,turkey,manila,philippines,21
ankara,turkey,moscow,russia,21
ankara,turkey,nairobi,kenya,21
ankara,turkey,oslo,norway,21
ankara,turkey,ottawa,canada,21
ankara,turkey,paris,france,21
ankara,turkey,rome,italy,21
ankara,turkey,santiago,chile,21
ankara,turkey,sofia,bulgaria,21
ankara,turkey,stockholm,sweden,21
ankara,turkey,taipei,taiwan,21
ankara,turkey,tbilisi,georgia,21
ankara,turkey,tehran,iran,21
ankara,turkey,tokyo,japan,21
ankara,turkey,vienna,austria,21
ankara,turkey,warsaw,poland,21
ankara,turkey,zagreb,croatia,21
athens,greece,baghdad,iraq,21
athens,greece,bangkok,thailand,21
athens,greece,beijing,china,21
athens,greece,beirut,lebanon,21
athens,greece,belgrade,serbia,21
athens,greece,berlin,germany,21
athens,greece,bern,switzerland,21
athens,greece,brussels,belgium,21
athens,greece,bucharest,romania,21
athens,greece,budapest,hungary,21
athens,greece,cairo,egypt,21
athens,greece,canberra,australia,21
athens,greece,conakry,guinea,21
athens,greece,copenhagen,denmark,21
athens,greece,damascus,syria,21
athens,greece,dhaka,bangladesh,21
