actor,actress,batman,batwoman,30
actor,actress,boar,sow,30
actor,actress,boy,girl,30
actor,actress,brother,sister,30
actor,actress,buck,doe,30
actor,actress,bull,cow,30
actor,actress,businessman,businesswoman,30
actor,actress,chairman,chairwoman,30
actor,actress,dad,mom,30
actor,actress,daddy,mommy,30
actor,actress,duke,duchess,30
actor,actress,emperor,empress,30
actor,actress,father,mother,30
actor,actress,fisherman,fisherwoman,30
actor,actress,fox,vixen,30
actor,actress,gentleman,lady,30
actor,actress,god,goddess,30
actor,actress,grandfather,grandmother,30
actor,actress,grandpa,grandma,30
actor,actress,grandson,granddaughter,30
actor,actress,groom,bride,30
actor,actress,headmaster,headmistress,30
actor,actress,heir,heiress,30
actor,actress,hero,heroine,30
actor,actress,hound,bitch,30
actor,actress,husband,wife,30
actor,actress,king,queen,30
actor,actress,lion,lioness,30
actor,actress,man,woman,30
actor,actress,manager,manageress,30
actor,actress,mister,miss,30
actor,actress,murderer,murderess,30
actor,actress,nephew,niece,30
actor,actress,poet,poetess,30
actor,actress,policeman,policewoman,30
actor,actress,prince,princess,30
actor,actress,ram,ewe,30
actor,actress,rooster,hen,30
actor,actress,sculptor,sculptress,30
actor,actress,sir,madam,30
actor,actress,son,daughter,30
actor,actress,stallion,mare,30
actor,actress,stepfather,stepmother,30
actor,actress,superman,superwoman,30
actor,actress,tiger,tigress,30
actor,actress,uncle,aunt,30
actor,actress,valet,maid,30
actor,actress,waiter,waitress,30
batman,batwoman,boar,sow,30
batman,batwoman,boy,girl,30
batman,batwoman,brother,sister,30
batman,batwoman,buck,doe,30
batman,batwoman,bull,cow,30
batman,batwoman,businessman,businesswoman,30
batman,batwoman,chairman,chairwoman,30
batman,batwoman,dad,mom,30
batman,batwoman,daddy,mommy,30
batman,batwoman,duke,duchess,30
batman,batwoman,emperor,empress,30
batman,batwoman,father,mother,30
batman,batwoman,fisherman,fisherwoman,30
batman,batwoman,fox,vixen,30
batman,batwoman,gentleman,lady,30
batman,batwoman,god,goddess,30
batman,batwoman,grandfather,grandmother,30
batman,batwoman,grandpa,grandma,30
batman,batwoman,grandson,granddaughter,30
batman,batwoman,groom,bride,30
batman,batwoman,headmaster,headmistress,30
batman,batwoman,heir,heiress,30
batman,batwoman,hero,heroine,30
batman,batwoman,hound,bitch,30
batman,batwoman,husband,wife,30
batman,batwoman,king,queen,30
batman,batwoman,lion,lioness,30
batman,batwoman,man,woman,30
batman,batwoman,manager,manageress,30
batman,batwoman,mister,miss,30
batman,batwoman,murderer,murderess,30
batman,batwoman,nephew,niece,30
batman,batwoman,poet,poetess,30
batman,batwoman,policeman,policewoman,30
batman,batwoman,prince,princess,30
batman,batwoman,ram,ewe,30
batman,batwoman,rooster,hen,30
batman,batwoman,sculptor,sculptress,30
batman,batwoman,sir,madam,30
