able,ablest,angry,angriest,4
able,ablest,cheap,cheapest,4
able,ablest,clever,cleverest,4
able,ablest,costly,costliest,4
able,ablest,cruel,cruelest,4
able,ablest,cute,cutest,4
able,ablest,dense,densest,4
able,ablest,dumb,dumbest,4
able,ablest,fierce,fiercest,4
able,ablest,handy,handiest,4
able,ablest,happy,happiest,4
able,ablest,hardy,hardiest,4
able,ablest,harsh,harshest,4
able,ablest,healthy,healthiest,4
able,ablest,hot,hottest,4
able,ablest,huge,hugest,4
able,ablest,hungry,hungriest,4
able,ablest,lazy,laziest,4
able,ablest,lengthy,lengthiest,4
able,ablest,lucky,luckiest,4
able,ablest,merry,merriest,4
able,ablest,mild,mildest,4
able,ablest,nasty,nastiest,4
able,ablest,neat,neatest,4
able,ablest,nice,nicest,4
able,ablest,noisy,noisiest,4
able,ablest,proud,proudest,4
able,ablest,pure,purest,4
able,ablest,rare,rarest,4
able,ablest,risky,riskiest,4
able,ablest,rude,rudest,4
able,ablest,sad,saddest,4
able,ablest,scary,scariest,4
able,ablest,sexy,sexiest,4
able,ablest,shiny,shiniest,4
able,ablest,strange,strangest,4
able,ablest,strict,strictest,4
able,ablest,strong,strongest,4
able,ablest,subtle,subtlest,4
able,ablest,sunny,sunniest,4
able,ablest,tasty,tastiest,4
able,ablest,tiny,tiniest,4
able,ablest,tricky,trickiest,4
able,ablest,ugly,ugliest,4
able,ablest,vague,vaguest,4
able,ablest,weak,weakest,4
able,ablest,wealthy,wealthiest,4
able,ablest,weird,weirdest,4
angry,angriest,cheap,cheapest,4
angry,angriest,clever,cleverest,4
angry,angriest,costly,costliest,4
angry,angriest,cruel,cruelest,4
angry,angriest,cute,cutest,4
angry,angriest,dense,densest,4
angry,angriest,dumb,dumbest,4
angry,angriest,fierce,fiercest,4
angry,angriest,handy,handiest,4
angry,angriest,happy,happiest,4
angry,angriest,hardy,hardiest,4
angry,angriest,harsh,harshest,4
angry,angriest,healthy,healthiest,4
angry,angriest,hot,hottest,4
angry,angriest,huge,hugest,4
angry,angriest,hungry,hungriest,4
angry,angriest,lazy,laziest,4
angry,angriest,lengthy,lengthiest,4
angry,angriest,lucky,luckiest,4
angry,angriest,merry,merriest,4
angry,angriest,mild,mildest,4
angry,angriest,nasty,nastiest,4
angry,angriest,neat,neatest,4
angry,angriest,nice,nicest,4
angry,angriest,noisy,noisiest,4
angry,angriest,proud,proudest,4
angry,angriest,pure,purest,4
angry,angriest,rare,rarest,4
angry,angriest,risky,riskiest,4
angry,angriest,rude,rudest,4
angry,angriest,sad,saddest,4
angry,angriest,scary,scariest,4
angry,angriest,sexy,sexiest,4
angry,angriest,shiny,shiniest,4
angry,angriest,strange,strangest,4
angry,angriest,strict,strictest,4
angry,angriest,strong,strongest,4
angry,angriest,subtle,subtlest,4
angry,angriest,sunny,sunniest,4
angry,angriest,tasty,tastiest,4
angry,angriest,tiny,tiniest,4
angry,angriest,tricky,trickiest,4
angry,angriest,ugly,ugliest,4
angry,angriest,vague,vaguest,4
angry,angriest,weak,weakest,4
angry,angriest,wealthy,wealthiest,4
angry,angriest,weird,weirdest,4
cheap,cheapest,clever,cleverest,4
cheap,cheapest,costly,costliest,4
cheap,cheapest,cruel,cruelest,4
cheap,cheapest,cute,cutest,4
cheap,cheapest,dense,densest,4
cheap,cheapest,dumb,dumbest,4
cheap,cheapest,fierce,fiercest,4
cheap,cheapest,handy,handiest,4
cheap,cheapest,happy,happiest,4
cheap,cheapest,hardy,hardiest,4
cheap,cheapest,harsh,harshest,4
cheap,cheapest,healthy,healthiest,4
cheap,cheapest,hot,hottest,4
cheap,cheapest,huge,hugest,4
cheap,cheapest,hungry,hungriest,4
cheap,cheapest,lazy,laziest,4
cheap,cheapest,lengthy,lengthiest,4
