accept,accepted,achieve,achieved,7
accept,accepted,add,added,7
accept,accepted,agree,agreed,7
accept,accepted,allow,allowed,7
accept,accepted,announce,announced,7
accept,accepted,appear,appeared,7
accept,accepted,apply,applied,7
accept,accepted,ask,asked,7
accept,accepted,attend,attended,7
accept,accepted,become,became,7
accept,accepted,believe,believed,7
accept,accepted,consider,considered,7
accept,accepted,continue,continued,7
accept,accepted,create,created,7
accept,accepted,decide,decided,7
accept,accepted,describe,described,7
accept,accepted,develop,developed,7
accept,accepted,discover,discovered,7
accept,accepted,enjoy,enjoyed,7
accept,accepted,ensure,ensured,7
accept,accepted,establish,established,7
accept,accepted,expect,expected,7
accept,accepted,follow,followed,7
accept,accepted,hear,heard,7
accept,accepted,identify,identified,7
accept,accepted,improve,improved,7
accept,accepted,include,included,7
accept,accepted,introduce,introduced,7
accept,accepted,involve,involved,7
accept,accepted,locate,located,7
accept,accepted,lose,lost,7
accept,accepted,manage,managed,7
accept,accepted,marry,married,7
accept,accepted,perform,performed,7
accept,accepted,provide,provided,7
accept,accepted,publish,published,7
accept,accepted,receive,received,7
accept,accepted,reduce,reduced,7
accept,accepted,refer,referred,7
accept,accepted,relate,related,7
accept,accepted,remain,remained,7
accept,accepted,replace,replaced,7
accept,accepted,require,required,7
accept,accepted,seem,seemed,7
accept,accepted,send,sent,7
accept,accepted,spend,spent,7
accept,accepted,tell,told,7
accept,accepted,understand,understood,7
accept,accepted,unite,united,7
achieve,achieved,add,added,7
achieve,achieved,agree,agreed,7
achieve,achieved,allow,allowed,7
achieve,achieved,announce,announced,7
achieve,achieved,appear,appeared,7
achieve,achieved,apply,applied,7
achieve,achieved,ask,asked,7
achieve,achieved,attend,attended,7
achieve,achieved,become,became,7
achieve,achieved,believe,believed,7
achieve,achieved,consider,considered,7
achieve,achieved,continue,continued,7
achieve,achieved,create,created,7
achieve,achieved,decide,decided,7
achieve,achieved,describe,described,7
achieve,achieved,develop,developed,7
achieve,achieved,discover,discovered,7
achieve,achieved,enjoy,enjoyed,7
achieve,achieved,ensure,ensured,7
achieve,achieved,establish,established,7
achieve,achieved,expect,expected,7
achieve,achieved,follow,followed,7
achieve,achieved,hear,heard,7
achieve,achieved,identify,identified,7
achieve,achieved,improve,improved,7
achieve,achieved,include,included,7
achieve,achieved,introduce,introduced,7
achieve,achieved,involve,involved,7
achieve,achieved,locate,located,7
achieve,achieved,lose,lost,7
achieve,achieved,manage,managed,7
achieve,achieved,marry,married,7
achieve,achieved,perform,performed,7
achieve,achieved,provide,provided,7
achieve,achieved,publish,published,7
achieve,achieved,receive,received,7
achieve,achieved,reduce,reduced,7
achieve,achieved,refer,referred,7
achieve,achieved,relate,related,7
achieve,achieved,remain,remained,7
achieve,achieved,replace,replaced,7
achieve,achieved,require,required,7
achieve,achieved,seem,seemed,7
achieve,achieved,send,sent,7
achieve,achieved,spend,spent,7
achieve,achieved,tell,told,7
achieve,achieved,understand,understood,7
achieve,achieved,unite,united,7
add,added,agree,agreed,7
add,added,allow,allowed,7
add,added,announce,announced,7
add,added,appear,appeared,7
add,added,apply,applied,7
add,added,ask,asked,7
add,added,attend,attended,7
add,added,become,became,7
add,added,believe,believed,7
add,added,consider,considered,7
add,added,continue,continued,7
add,added,create,created,7
add,added,decide,decided,7
add,added,describe,described,7
add,added,develop,developed,7
add,added,discover,discovered,7
add,added,enjoy,enjoyed,7
add,added,ensure,ensured,7
add,added,establish,established,7
add,added,expect,expected,7
add,added,follow,followed,7
add,added,hear,heard,7
add,added,identify,identified,7
add,added,improve,improved,7
add,added,include,included,7
add,added,introduce,introduced,7
add,added,involve,involved,7
