adding,added,agreeing,agreed,9
adding,added,allowing,allowed,9
adding,added,announcing,announced,9
adding,added,appearing,appeared,9
adding,added,applying,applied,9
adding,added,appointing,appointed,9
adding,added,asking,asked,9
adding,added,attending,attended,9
adding,added,becoming,became,9
adding,added,considering,considered,9
adding,added,containing,contained,9
adding,added,continuing,continued,9
adding,added,creating,created,9
adding,added,deciding,decided,9
adding,added,describing,described,9
adding,added,developing,developed,9
adding,added,establishing,established,9
adding,added,existing,existed,9
adding,added,expecting,expected,9
adding,added,failing,failed,9
adding,added,following,followed,9
adding,added,hearing,heard,9
adding,added,improving,improved,9
adding,added,including,included,9
adding,added,introducing,introduced,9
adding,added,involving,involved,9
adding,added,locating,located,9
adding,added,losing,lost,9
adding,added,managing,managed,9
adding,added,marrying,married,9
adding,added,operating,operated,9
adding,added,performing,performed,9
adding,added,proposing,proposed,9
adding,added,providing,provided,9
adding,added,publishing,published,9
adding,added,receiving,received,9
adding,added,reducing,reduced,9
adding,added,relating,related,9
adding,added,remaining,remained,9
adding,added,replacing,replaced,9
adding,added,representing,represented,9
adding,added,requiring,required,9
adding,added,sending,sent,9
adding,added,spending,spent,9
adding,added,suffering,suffered,9
adding,added,teaching,taught,9
adding,added,telling,told,9
adding,added,understanding,understood,9
adding,added,uniting,united,9
agreeing,agreed,allowing,allowed,9
agreeing,agreed,announcing,announced,9
agreeing,agreed,appearing,appeared,9
agreeing,agreed,applying,applied,9
agreeing,agreed,appointing,appointed,9
agreeing,agreed,asking,asked,9
agreeing,agreed,attending,attended,9
agreeing,agreed,becoming,became,9
agreeing,agreed,considering,considered,9
agreeing,agreed,containing,contained,9
agreeing,agreed,continuing,continued,9
agreeing,agreed,creating,created,9
agreeing,agreed,deciding,decided,9
agreeing,agreed,describing,described,9
agreeing,agreed,developing,developed,9
agreeing,agreed,establishing,established,9
agreeing,agreed,existing,existed,9
agreeing,agreed,expecting,expected,9
agreeing,agreed,failing,failed,9
agreeing,agreed,following,followed,9
agreeing,agreed,hearing,heard,9
agreeing,agreed,improving,improved,9
agreeing,agreed,including,included,9
agreeing,agreed,introducing,introduced,9
agreeing,agreed,involving,involved,9
