afraid,terrified,angry,furious,37
afraid,terrified,ask,beg,37
afraid,terrified,bad,awful,37
afraid,terrified,boring,tedious,37
afraid,terrified,cat,lion,37
afraid,terrified,chuckle,laugh,37
afraid,terrified,confused,lost,37
afraid,terrified,creative,ingenious,37
afraid,terrified,cry,scream,37
afraid,terrified,damp,drenched,37
afraid,terrified,dinner,feast,37
afraid,terrified,dislike,hate,37
afraid,terrified,doze,sleep,37
afraid,terrified,drizzle,rain,37
afraid,terrified,excited,agitated,37
afraid,terrified,giggle,laugh,37
afraid,terrified,guilty,remorseful,37
afraid,terrified,happy,ecstatic,37
afraid,terrified,house,palace,37
afraid,terrified,hungry,starving,37
afraid,terrified,indulge,pamper,37
afraid,terrified,interesting,exciting,37
afraid,terrified,irritate,enrage,37
afraid,terrified,jog,run,37
afraid,terrified,lake,sea,37
afraid,terrified,like,love,37
afraid,terrified,love,adore,37
afraid,terrified,monkey,gorilla,37
afraid,terrified,nap,sleep,37
afraid,terrified,necessary,essential,37
afraid,terrified,opposed,averse,37
afraid,terrified,pain,torment,37
afraid,terrified,pony,horse,37
afraid,terrified,poorly,afflicted,37
afraid,terrified,rain,deluge,37
afraid,terrified,sad,desparate,37
afraid,terrified,sea,ocean,37
afraid,terrified,snack,meal,37
afraid,terrified,sniffles,pneumonia,37
afraid,terrified,soon,immediately,37
afraid,terrified,strong,powerful,37
afraid,terrified,tasty,delicious,37
afraid,terrified,tired,exhausted,37
afraid,terrified,unfortunate,tragic,37
afraid,terrified,unhappy,miserable,37
afraid,terrified,want,crave,37
afraid,terrified,warm,hot,37
afraid,terrified,well,flourishing,37
angry,furious,ask,beg,37
angry,furious,bad,awful,37
angry,furious,boring,tedious,37
angry,furious,cat,lion,37
angry,furious,chuckle,laugh,37
angry,furious,confused,lost,37
angry,furious,creative,ingenious,37
angry,furious,cry,scream,37
angry,furious,damp,drenched,37
angry,furious,dinner,feast,37
angry,furious,dislike,hate,37
angry,furious,doze,sleep,37
angry,furious,drizzle,rain,37
angry,furious,excited,agitated,37
angry,furious,giggle,laugh,37
angry,furious,guilty,remorseful,37
angry,furious,happy,ecstatic,37
angry,furious,house,palace,37
angry,furious,hungry,starving,37
angry,furious,indulge,pamper,37
angry,furious,interesting,exciting,37
angry,furious,irritate,enrage,37
angry,furious,jog,run,37
angry,furious,lake,sea,37
angry,furious,like,love,37
angry,furious,love,adore,37
angry,furious,monkey,gorilla,37
angry,furious,nap,sleep,37
angry,furious,necessary,essential,37
angry,furious,opposed,averse,37
angry,furious,pain,torment,37
angry,furious,pony,horse,37
angry,furious,poorly,afflicted,37
angry,furious,rain,deluge,37
angry,furious,sad,desparate,37
angry,furious,sea,ocean,37
angry,furious,snack,meal,37
angry,furious,sniffles,pneumonia,37
angry,furious,soon,immediately,37
angry,furious,strong,powerful,37
angry,furious,tasty,delicious,37
angry,furious,tired,exhausted,37
angry,furious,unfortunate,tragic,37
angry,furious,unhappy,miserable,37
angry,furious,want,crave,37
angry,furious,warm,hot,37
angry,furious,well,flourishing,37
ask,beg,bad,awful,37
ask,beg,boring,tedious,37
ask,beg,cat,lion,37
ask,beg,chuckle,laugh,37
ask,beg,confused,lost,37
ask,beg,creative,ingenious,37
ask,beg,cry,scream,37
ask,beg,damp,drenched,37
ask,beg,dinner,feast,37
ask,beg,dislike,hate,37
ask,beg,doze,sleep,37
ask,beg,drizzle,rain,37
ask,beg,excited,agitated,37
ask,beg,giggle,laugh,37
ask,beg,guilty,remorseful,37
ask,beg,happy,ecstatic,37
ask,beg,house,palace,37
ask,beg,hungry,starving,37
ask,beg,indulge,pamper,37
ask,beg,interesting,exciting,37
ask,beg,irritate,enrage,37
ask,beg,jog,run,37
ask,beg,lake,sea,37
ask,beg,like,love,37
ask,beg,love,adore,37
ask,beg,monkey,gorilla,37
ask,beg,nap,sleep,37
ask,beg,necessary,essential,37
ask,beg,opposed,averse,37
ask,beg,pain,torment,37
ask,beg,pony,horse,37
ask,beg,poorly,afflicted,37
ask,beg,rain,deluge,37
ask,beg,sad,desparate,37
ask,beg,sea,ocean,37
ask,beg,snack,meal,37
ask,beg,sniffles,pneumonia,37
ask,beg,soon,immediately,37
ask,beg,strong,powerful,37
ask,beg,tasty,delicious,37
ask,beg,tired,exhausted,37
ask,beg,unfortunate,tragic,37
ask,beg,unhappy,miserable,37
ask,beg,want,crave,37
ask,beg,warm,hot,37
ask,beg,well,flourishing,37
bad,awful,boring,tedious,37
bad,awful,cat,lion,37
bad,awful,chuckle,laugh,37
bad,awful,confused,lost,37
bad,awful,creative,ingenious,37
bad,awful,cry,scream,37
bad,awful,damp,drenched,37
bad,awful,dinner,feast,37
bad,awful,dislike,hate,37
bad,awful,doze,sleep,37
bad,awful,drizzle,rain,37
bad,awful,excited,agitated,37
bad,awful,giggle,laugh,37
bad,awful,guilty,remorseful,37
bad,awful,happy,ecstatic,37
bad,awful,house,palace,37
bad,awful,hungry,starving,37
