able,unable,abundant,scarce,39
able,unable,aware,unaware,39
able,unable,beautiful,ugly,39
able,unable,big,small,39
able,unable,bright,pale,39
able,unable,cheap,expensive,39
able,unable,clean,dirty,39
able,unable,clear,vague,39
able,unable,close,distant,39
able,unable,colorful,colorless,39
able,unable,common,rare,39
able,unable,competent,incompetent,39
able,unable,concerned,unconcerned,39
able,unable,cooked,raw,39
able,unable,dangerous,safe,39
able,unable,decisive,hesitating,39
able,unable,dry,wet,39
able,unable,energetic,lethargic,39
able,unable,familiar,unfamiliar,39
able,unable,fat,thin,39
able,unable,full,empty,39
able,unable,gaseous,solid,39
able,unable,generous,stingy,39
able,unable,happy,sad,39
able,unable,hard,soft,39
able,unable,hot,cold,39
able,unable,interesting,uninteresting,39
able,unable,large,small,39
able,unable,long,short,39
able,unable,lumpy,flat,39
able,unable,noisy,silent,39
able,unable,normal,abnormal,39
able,unable,organized,unorganized,39
able,unable,pale,tanned,39
able,unable,rich,poor,39
able,unable,sane,crazy,39
able,unable,short,tall,39
able,unable,simple,difficult,39
able,unable,sincere,insincere,39
able,unable,slow,fast,39
able,unable,sweet,sour,39
able,unable,tasty,tasteless,39
able,unable,tight,loose,39
able,unable,warm,cool,39
able,unable,white,black,39
able,unable,wide,narrow,39
able,unable,willing,unwilling,39
able,unable,young,old,39
abundant,scarce,aware,unaware,39
abundant,scarce,beautiful,ugly,39
abundant,scarce,big,small,39
abundant,scarce,bright,pale,39
abundant,scarce,cheap,expensive,39
abundant,scarce,clean,dirty,39
abundant,scarce,clear,vague,39
abundant,scarce,close,distant,39
abundant,scarce,colorful,colorless,39
abundant,scarce,common,rare,39
abundant,scarce,competent,incompetent,39
abundant,scarce,concerned,unconcerned,39
abundant,scarce,cooked,raw,39
abundant,scarce,dangerous,safe,39
abundant,scarce,decisive,hesitating,39
abundant,scarce,dry,wet,39
abundant,scarce,energetic,lethargic,39
abundant,scarce,familiar,unfamiliar,39
abundant,scarce,fat,thin,39
abundant,scarce,full,empty,39
abundant,scarce,gaseous,solid,39
abundant,scarce,generous,stingy,39
abundant,scarce,happy,sad,39
abundant,scarce,hard,soft,39
abundant,scarce,hot,cold,39
abundant,scarce,interesting,uninteresting,39
abundant,scarce,large,small,39
abundant,scarce,long,short,39
abundant,scarce,lumpy,flat,39
abundant,scarce,noisy,silent,39
abundant,scarce,normal,abnormal,39
abundant,scarce,organized,unorganized,39
abundant,scarce,pale,tanned,39
abundant,scarce,rich,poor,39
abundant,scarce,sane,crazy,39
abundant,scarce,short,tall,39
abundant,scarce,simple,difficult,39
abundant,scarce,sincere,insincere,39
abundant,scarce,slow,fast,39
abundant,scarce,sweet,sour,39
abundant,scarce,tasty,tasteless,39
abundant,scarce,tight,loose,39
abundant,scarce,warm,cool,39
abundant,scarce,white,black,39
abundant,scarce,wide,narrow,39
abundant,scarce,willing,unwilling,39
abundant,scarce,young,old,39
aware,unaware,beautiful,ugly,39
aware,unaware,big,small,39
aware,unaware,bright,pale,39
aware,unaware,cheap,expensive,39
aware,unaware,clean,dirty,39
aware,unaware,clear,vague,39
aware,unaware,close,distant,39
aware,unaware,colorful,colorless,39
aware,unaware,common,rare,39
aware,unaware,competent,incompetent,39
aware,unaware,concerned,unconcerned,39
aware,unaware,cooked,raw,39
aware,unaware,dangerous,safe,39
aware,unaware,decisive,hesitating,39
aware,unaware,dry,wet,39
aware,unaware,energetic,lethargic,39
aware,unaware,familiar,unfamiliar,39
aware,unaware,fat,thin,39
aware,unaware,full,empty,39
aware,unaware,gaseous,solid,39
aware,unaware,generous,stingy,39
aware,unaware,happy,sad,39
aware,unaware,hard,soft,39
aware,unaware,hot,cold,39
aware,unaware,interesting,uninteresting,39
aware,unaware,large,small,39
aware,unaware,long,short,39
aware,unaware,lumpy,flat,39
aware,unaware,noisy,silent,39
aware,unaware,normal,abnormal,39
aware,unaware,organized,unorganized,39
aware,unaware,pale,tanned,39
aware,unaware,rich,poor,39
aware,unaware,sane,crazy,39
aware,unaware,short,tall,39
aware,unaware,simple,difficult,39
aware,unaware,sincere,insincere,39
aware,unaware,slow,fast,39
aware,unaware,sweet,sour,39
aware,unaware,tasty,tasteless,39
aware,unaware,tight,loose,39
aware,unaware,warm,cool,39
aware,unaware,white,black,39
aware,unaware,wide,narrow,39
aware,unaware,willing,unwilling,39
aware,unaware,young,old,39
beautiful,ugly,big,small,39
beautiful,ugly,bright,pale,39
beautiful,ugly,cheap,expensive,39
beautiful,ugly,clean,dirty,39
beautiful,ugly,clear,vague,39
beautiful,ugly,close,distant,39
beautiful,ugly,colorful,colorless,39
beautiful,ugly,common,rare,39
beautiful,ugly,competent,incompetent,39
beautiful,ugly,concerned,unconcerned,39
beautiful,ugly,cooked,raw,39
beautiful,ugly,dangerous,safe,39
beautiful,ugly,decisive,hesitating,39
beautiful,ugly,dry,wet,39
