after,before,ahead,behind,40
after,before,anterior,posterior,40
after,before,backward,forward,40
after,before,before,after,40
after,before,beginning,end,40
after,before,below,above,40
after,before,climb,descend,40
after,before,dead,alive,40
after,before,decrement,increment,40
after,before,descend,ascend,40
after,before,dive,emerge,40
after,before,down,up,40
after,before,downslope,upslope,40
after,before,drop,lift,40
after,before,dynamic,static,40
after,before,employ,dismiss,40
after,before,exit,entrance,40
after,before,fall,rise,40
after,before,first,last,40
after,before,forget,remember,40
after,before,forward,backward,40
after,before,front,back,40
after,before,in,out,40
after,before,inbound,outbound,40
after,before,inhale,exhale,40
after,before,input,output,40
after,before,inside,outside,40
after,before,interior,exterior,40
after,before,internal,external,40
after,before,inverse,reverse,40
after,before,mortal,immortal,40
after,before,occupied,vacant,40
after,before,off,on,40
after,before,out,in,40
after,before,outward,upward,40
after,before,over,under,40
after,before,previously,subsequently,40
after,before,proceed,retreat,40
after,before,rise,sink,40
after,before,south,north,40
after,before,southeast,southwest,40
after,before,submerge,emerge,40
after,before,top,bottom,40
after,before,toward,away,40
after,before,true,false,40
after,before,under,over,40
after,before,up,down,40
after,before,uphill,downhill,40
after,before,west,east,40
ahead,behind,anterior,posterior,40
ahead,behind,backward,forward,40
ahead,behind,before,after,40
ahead,behind,beginning,end,40
ahead,behind,below,above,40
ahead,behind,climb,descend,40
ahead,behind,dead,alive,40
ahead,behind,decrement,increment,40
ahead,behind,descend,ascend,40
ahead,behind,dive,emerge,40
ahead,behind,down,up,40
ahead,behind,downslope,upslope,40
ahead,behind,drop,lift,40
ahead,behind,dynamic,static,40
ahead,behind,employ,dismiss,40
ahead,behind,exit,entrance,40
ahead,behind,fall,rise,40
ahead,behind,first,last,40
ahead,behind,forget,remember,40
ahead,behind,forward,backward,40
ahead,behind,front,back,40
ahead,behind,in,out,40
ahead,behind,inbound,outbound,40
ahead,behind,inhale,exhale,40
ahead,behind,input,output,40
ahead,behind,inside,outside,40
ahead,behind,interior,exterior,40
ahead,behind,internal,external,40
ahead,behind,inverse,reverse,40
ahead,behind,mortal,immortal,40
ahead,behind,occupied,vacant,40
ahead,behind,off,on,40
ahead,behind,out,in,40
ahead,behind,outward,upward,40
ahead,behind,over,under,40
ahead,behind,previously,subsequently,40
ahead,behind,proceed,retreat,40
ahead,behind,rise,sink,40
ahead,behind,south,north,40
ahead,behind,southeast,southwest,40
ahead,behind,submerge,emerge,40
ahead,behind,top,bottom,40
ahead,behind,toward,away,40
ahead,behind,true,false,40
ahead,behind,under,over,40
ahead,behind,up,down,40
ahead,behind,uphill,downhill,40
ahead,behind,west,east,40
anterior,posterior,backward,forward,40
anterior,posterior,before,after,40
anterior,posterior,beginning,end,40
anterior,posterior,below,above,40
anterior,posterior,climb,descend,40
anterior,posterior,dead,alive,40
anterior,posterior,decrement,increment,40
anterior,posterior,descend,ascend,40
anterior,posterior,dive,emerge,40
anterior,posterior,down,up,40
anterior,posterior,downslope,upslope,40
anterior,posterior,drop,lift,40
anterior,posterior,dynamic,static,40
anterior,posterior,employ,dismiss,40
anterior,posterior,exit,entrance,40
anterior,posterior,fall,rise,40
anterior,posterior,first,last,40
anterior,posterior,forget,remember,40
anterior,posterior,forward,backward,40
anterior,posterior,front,back,40
anterior,posterior,in,out,40
anterior,posterior,inbound,outbound,40
anterior,posterior,inhale,exhale,40
anterior,posterior,input,output,40
anterior,posterior,inside,outside,40
anterior,posterior,interior,exterior,40
anterior,posterior,internal,external,40
anterior,posterior,inverse,reverse,40
anterior,posterior,mortal,immortal,40
anterior,posterior,occupied,vacant,40
anterior,posterior,off,on,40
anterior,posterior,out,in,40
anterior,posterior,outward,upward,40
anterior,posterior,over,under,40
anterior,posterior,previously,subsequently,40
anterior,posterior,proceed,retreat,40
anterior,posterior,rise,sink,40
anterior,posterior,south,north,40
anterior,posterior,southeast,southwest,40
anterior,posterior,submerge,emerge,40
anterior,posterior,top,bottom,40
anterior,posterior,toward,away,40
anterior,posterior,true,false,40
anterior,posterior,under,over,40
anterior,posterior,up,down,40
anterior,posterior,uphill,downhill,40
anterior,posterior,west,east,40
backward,forward,before,after,40
backward,forward,beginning,end,40
backward,forward,below,above,40
backward,forward,climb,descend,40
backward,forward,dead,alive,40
backward,forward,decrement,increment,40
backward,forward,descend,ascend,40
backward,forward,dive,emerge,40
backward,forward,down,up,40
backward,forward,downslope,upslope,40
backward,forward,drop,lift,40
