accept,accepts,achieve,achieves
accept,accepts,add,adds
accept,accepts,agree,agrees
accept,accepts,allow,allows
accept,accepts,appear,appears
accept,accepts,apply,applies
accept,accepts,ask,asks
accept,accepts,avoid,avoids
accept,accepts,become,becomes
accept,accepts,believe,believes
accept,accepts,consider,considers
accept,accepts,consist,consists
accept,accepts,contain,contains
accept,accepts,continue,continues
accept,accepts,create,creates
accept,accepts,describe,describes
accept,accepts,develop,develops
accept,accepts,enable,enables
accept,accepts,enjoy,enjoys
accept,accepts,ensure,ensures
accept,accepts,exist,exists
accept,accepts,explain,explains
accept,accepts,follow,follows
accept,accepts,happen,happens
accept,accepts,hear,hears
accept,accepts,identify,identifies
accept,accepts,improve,improves
accept,accepts,include,includes
accept,accepts,involve,involves
accept,accepts,learn,learns
accept,accepts,maintain,maintains
accept,accepts,occur,occurs
accept,accepts,operate,operates
accept,accepts,prevent,prevents
accept,accepts,promote,promotes
accept,accepts,protect,protects
accept,accepts,provide,provides
accept,accepts,receive,receives
accept,accepts,reduce,reduces
accept,accepts,refer,refers
accept,accepts,remain,remains
accept,accepts,remember,remembers
accept,accepts,represent,represents
accept,accepts,require,requires
accept,accepts,seem,seems
accept,accepts,send,sends
accept,accepts,suggest,suggests
accept,accepts,tell,tells
accept,accepts,understand,understands
achieve,achieves,add,adds
achieve,achieves,agree,agrees
achieve,achieves,allow,allows
achieve,achieves,appear,appears
achieve,achieves,apply,applies
achieve,achieves,ask,asks
achieve,achieves,avoid,avoids
achieve,achieves,become,becomes
achieve,achieves,believe,believes
achieve,achieves,consider,considers
achieve,achieves,consist,consists
achieve,achieves,contain,contains
achieve,achieves,continue,continues
achieve,achieves,create,creates
achieve,achieves,describe,describes
achieve,achieves,develop,develops
achieve,achieves,enable,enables
achieve,achieves,enjoy,enjoys
achieve,achieves,ensure,ensures
achieve,achieves,exist,exists
achieve,achieves,explain,explains
achieve,achieves,follow,follows
achieve,achieves,happen,happens
achieve,achieves,hear,hears
achieve,achieves,identify,identifies
achieve,achieves,improve,improves
achieve,achieves,include,includes
achieve,achieves,involve,involves
achieve,achieves,learn,learns
achieve,achieves,maintain,maintains
achieve,achieves,occur,occurs
achieve,achieves,operate,operates
achieve,achieves,prevent,prevents
achieve,achieves,promote,promotes
achieve,achieves,protect,protects
achieve,achieves,provide,provides
achieve,achieves,receive,receives
achieve,achieves,reduce,reduces
achieve,achieves,refer,refers
achieve,achieves,remain,remains
achieve,achieves,remember,remembers
achieve,achieves,represent,represents
achieve,achieves,require,requires
achieve,achieves,seem,seems
achieve,achieves,send,sends
achieve,achieves,suggest,suggests
achieve,achieves,tell,tells
achieve,achieves,understand,understands
add,adds,agree,agrees
