adding,added,agreeing,agreed
adding,added,allowing,allowed
adding,added,announcing,announced
adding,added,appearing,appeared
adding,added,applying,applied
adding,added,appointing,appointed
adding,added,asking,asked
adding,added,attending,attended
adding,added,becoming,became
adding,added,considering,considered
adding,added,containing,contained
adding,added,continuing,continued
adding,added,creating,created
adding,added,deciding,decided
adding,added,describing,described
adding,added,developing,developed
adding,added,establishing,established
adding,added,existing,existed
adding,added,expecting,expected
adding,added,failing,failed
adding,added,following,followed
adding,added,hearing,heard
adding,added,improving,improved
adding,added,including,included
adding,added,introducing,introduced
adding,added,involving,involved
adding,added,locating,located
adding,added,losing,lost
adding,added,managing,managed
adding,added,marrying,married
adding,added,operating,operated
adding,added,performing,performed
adding,added,proposing,proposed
adding,added,providing,provided
adding,added,publishing,published
adding,added,receiving,received
adding,added,reducing,reduced
adding,added,relating,related
adding,added,remaining,remained
adding,added,replacing,replaced
adding,added,representing,represented
adding,added,requiring,required
adding,added,sending,sent
adding,added,spending,spent
adding,added,suffering,suffered
adding,added,teaching,taught
adding,added,telling,told
adding,added,understanding,understood
adding,added,uniting,united
agreeing,agreed,allowing,allowed
agreeing,agreed,announcing,announced
agreeing,agreed,appearing,appeared
agreeing,agreed,applying,applied
agreeing,agreed,appointing,appointed
agreeing,agreed,asking,asked
agreeing,agreed,attending,attended
agreeing,agreed,becoming,became
agreeing,agreed,considering,considered
agreeing,agreed,containing,contained
agreeing,agreed,continuing,continued
agreeing,agreed,creating,created
agreeing,agreed,deciding,decided
agreeing,agreed,describing,described
agreeing,agreed,developing,developed
agreeing,agreed,establishing,established
agreeing,agreed,existing,existed
agreeing,agreed,expecting,expected
agreeing,agreed,failing,failed
agreeing,agreed,following,followed
agreeing,agreed,hearing,heard
agreeing,agreed,improving,improved
agreeing,agreed,including,included
agreeing,agreed,introducing,introduced
agreeing,agreed,involving,involved
agreeing,agreed,locating,located
agreeing,agreed,losing,lost
agreeing,agreed,managing,managed
agreeing,agreed,marrying,married
agreeing,agreed,operating,operated
agreeing,agreed,performing,performed
agreeing,agreed,proposing,proposed
agreeing,agreed,providing,provided
agreeing,agreed,publishing,published
agreeing,agreed,receiving,received
agreeing,agreed,reducing,reduced
agreeing,agreed,relating,related
agreeing,agreed,remaining,remained
agreeing,agreed,replacing,replaced
agreeing,agreed,representing,represented
agreeing,agreed,requiring,required
agreeing,agreed,sending,sent
agreeing,agreed,spending,spent
agreeing,agreed,suffering,suffered
agreeing,agreed,teaching,taught
agreeing,agreed,telling,told
agreeing,agreed,understanding,understood
agreeing,agreed,uniting,united
allowing,allowed,announcing,announced
allowing,allowed,appearing,appeared
allowing,allowed,applying,applied
allowing,allowed,appointing,appointed
allowing,allowed,asking,asked
allowing,allowed,attending,attended
allowing,allowed,becoming,became
allowing,allowed,considering,considered
allowing,allowed,containing,contained
allowing,allowed,continuing,continued
allowing,allowed,creating,created
allowing,allowed,deciding,decided
allowing,allowed,describing,described
allowing,allowed,developing,developed
allowing,allowed,establishing,established
allowing,allowed,existing,existed
allowing,allowed,expecting,expected
allowing,allowed,failing,failed
allowing,allowed,following,followed
allowing,allowed,hearing,heard
allowing,allowed,improving,improved
allowing,allowed,including,included
allowing,allowed,introducing,introduced
allowing,allowed,involving,involved
allowing,allowed,locating,located
allowing,allowed,losing,lost
allowing,allowed,managing,managed
allowing,allowed,marrying,married
allowing,allowed,operating,operated
allowing,allowed,performing,performed
allowing,allowed,proposing,proposed
allowing,allowed,providing,provided
allowing,allowed,publishing,published
allowing,allowed,receiving,received
allowing,allowed,reducing,reduced
allowing,allowed,relating,related
allowing,allowed,remaining,remained
allowing,allowed,replacing,replaced
allowing,allowed,representing,represented
allowing,allowed,requiring,required
allowing,allowed,sending,sent
allowing,allowed,spending,spent
allowing,allowed,suffering,suffered
allowing,allowed,teaching,taught
allowing,allowed,telling,told
allowing,allowed,understanding,understood
allowing,allowed,uniting,united
announcing,announced,appearing,appeared
announcing,announced,applying,applied
announcing,announced,appointing,appointed
announcing,announced,asking,asked
announcing,announced,attending,attended
announcing,announced,becoming,became
announcing,announced,considering,considered
announcing,announced,containing,contained
announcing,announced,continuing,continued
announcing,announced,creating,created
announcing,announced,deciding,decided
announcing,announced,describing,described
announcing,announced,developing,developed
announcing,announced,establishing,established
announcing,announced,existing,existed
announcing,announced,expecting,expected
announcing,announced,failing,failed
announcing,announced,following,followed
announcing,announced,hearing,heard
announcing,announced,improving,improved
announcing,announced,including,included
announcing,announced,introducing,introduced
announcing,announced,involving,involved
announcing,announced,locating,located
