adds,added,agrees,agreed
adds,added,allows,allowed
adds,added,announces,announced
adds,added,appears,appeared
adds,added,applies,applied
adds,added,appoints,appointed
adds,added,asks,asked
adds,added,becomes,became
adds,added,believes,believed
adds,added,considers,considered
adds,added,consists,consisted
adds,added,contains,contained
adds,added,continues,continued
adds,added,creates,created
adds,added,decides,decided
adds,added,describes,described
adds,added,develops,developed
adds,added,establishes,established
adds,added,expects,expected
adds,added,fails,failed
adds,added,follows,followed
adds,added,happens,happened
adds,added,hears,heard
adds,added,includes,included
adds,added,intends,intended
adds,added,introduces,introduced
adds,added,involves,involved
adds,added,locates,located
adds,added,loses,lost
adds,added,manages,managed
adds,added,marries,married
adds,added,occurs,occurred
adds,added,operates,operated
adds,added,performs,performed
adds,added,proposes,proposed
adds,added,provides,provided
adds,added,publishes,published
adds,added,receives,received
adds,added,refers,referred
adds,added,relates,related
adds,added,remains,remained
adds,added,replaces,replaced
adds,added,represents,represented
adds,added,requires,required
adds,added,seems,seemed
adds,added,sends,sent
adds,added,spends,spent
adds,added,suggests,suggested
adds,added,tells,told
agrees,agreed,allows,allowed
agrees,agreed,announces,announced
agrees,agreed,appears,appeared
agrees,agreed,applies,applied
agrees,agreed,appoints,appointed
agrees,agreed,asks,asked
agrees,agreed,becomes,became
agrees,agreed,believes,believed
agrees,agreed,considers,considered
agrees,agreed,consists,consisted
agrees,agreed,contains,contained
agrees,agreed,continues,continued
agrees,agreed,creates,created
agrees,agreed,decides,decided
agrees,agreed,describes,described
agrees,agreed,develops,developed
agrees,agreed,establishes,established
agrees,agreed,expects,expected
agrees,agreed,fails,failed
agrees,agreed,follows,followed
agrees,agreed,happens,happened
agrees,agreed,hears,heard
agrees,agreed,includes,included
agrees,agreed,intends,intended
agrees,agreed,introduces,introduced
agrees,agreed,involves,involved
agrees,agreed,locates,located
agrees,agreed,loses,lost
agrees,agreed,manages,managed
agrees,agreed,marries,married
agrees,agreed,occurs,occurred
agrees,agreed,operates,operated
agrees,agreed,performs,performed
agrees,agreed,proposes,proposed
agrees,agreed,provides,provided
agrees,agreed,publishes,published
agrees,agreed,receives,received
agrees,agreed,refers,referred
agrees,agreed,relates,related
agrees,agreed,remains,remained
agrees,agreed,replaces,replaced
agrees,agreed,represents,represented
agrees,agreed,requires,required
agrees,agreed,seems,seemed
agrees,agreed,sends,sent
agrees,agreed,spends,spent
agrees,agreed,suggests,suggested
agrees,agreed,tells,told
allows,allowed,announces,announced
allows,allowed,appears,appeared
allows,allowed,applies,applied
allows,allowed,appoints,appointed
allows,allowed,asks,asked
allows,allowed,becomes,became
allows,allowed,believes,believed
allows,allowed,considers,considered
allows,allowed,consists,consisted
allows,allowed,contains,contained
allows,allowed,continues,continued
allows,allowed,creates,created
allows,allowed,decides,decided
allows,allowed,describes,described
allows,allowed,develops,developed
allows,allowed,establishes,established
allows,allowed,expects,expected
allows,allowed,fails,failed
allows,allowed,follows,followed
allows,allowed,happens,happened
allows,allowed,hears,heard
allows,allowed,includes,included
allows,allowed,intends,intended
allows,allowed,introduces,introduced
allows,allowed,involves,involved
allows,allowed,locates,located
allows,allowed,loses,lost
allows,allowed,manages,managed
