able,unable,acceptable,unacceptable
able,unable,affected,unaffected
able,unable,authorized,unauthorized
able,unable,authorized,unauthorised
able,unable,available,unavailable
able,unable,avoidable,unavoidable
able,unable,aware,unaware
able,unable,believable,unbelievable
able,unable,biased,unbiased
able,unable,certain,uncertain
able,unable,changed,unchanged
able,unable,comfortable,uncomfortable
able,unable,conditional,unconditional
able,unable,conscious,unconscious
able,unable,controlled,uncontrolled
able,unable,desirable,undesirable
able,unable,employed,unemployed
able,unable,expected,unexpected
able,unable,finished,unfinished
able,unable,forgettable,unforgettable
able,unable,fortunate,unfortunate
able,unable,happy,unhappy
able,unable,healthy,unhealthy
able,unable,identified,unidentified
able,unable,intended,unintended
able,unable,interrupted,uninterrupted
able,unable,known,unknown
able,unable,lawful,unlawful
able,unable,lucky,unlucky
able,unable,noticed,unnoticed
able,unable,paid,unpaid
able,unable,pleasant,unpleasant
able,unable,popular,unpopular
able,unable,predictable,unpredictable
able,unable,published,unpublished
able,unable,realistic,unrealistic
able,unable,reasonable,unreasonable
able,unable,related,unrelated
able,unable,reliable,unreliable
able,unable,resolved,unresolved
able,unable,restricted,unrestricted
able,unable,satisfactory,unsatisfactory
able,unable,specified,unspecified
able,unable,successful,unsuccessful
able,unable,suitable,unsuitable
able,unable,sustainable,unsustainable
able,unable,used,unused
able,unable,usual,unusual
able,unable,veiled,unveiled
able,unable,wanted,unwanted
acceptable,unacceptable,affected,unaffected
acceptable,unacceptable,authorized,unauthorized
acceptable,unacceptable,authorized,unauthorised
acceptable,unacceptable,available,unavailable
acceptable,unacceptable,avoidable,unavoidable
acceptable,unacceptable,aware,unaware
acceptable,unacceptable,believable,unbelievable
acceptable,unacceptable,biased,unbiased
acceptable,unacceptable,certain,uncertain
acceptable,unacceptable,changed,unchanged
acceptable,unacceptable,comfortable,uncomfortable
acceptable,unacceptable,conditional,unconditional
acceptable,unacceptable,conscious,unconscious
acceptable,unacceptable,controlled,uncontrolled
acceptable,unacceptable,desirable,undesirable
acceptable,unacceptable,employed,unemployed
acceptable,unacceptable,expected,unexpected
acceptable,unacceptable,finished,unfinished
acceptable,unacceptable,forgettable,unforgettable
acceptable,unacceptable,fortunate,unfortunate
acceptable,unacceptable,happy,unhappy
acceptable,unacceptable,healthy,unhealthy
acceptable,unacceptable,identified,unidentified
acceptable,unacceptable,intended,unintended
acceptable,unacceptable,interrupted,uninterrupted
acceptable,unacceptable,known,unknown
acceptable,unacceptable,lawful,unlawful
acceptable,unacceptable,lucky,unlucky
acceptable,unacceptable,noticed,unnoticed
acceptable,unacceptable,paid,unpaid
acceptable,unacceptable,pleasant,unpleasant
acceptable,unacceptable,popular,unpopular
acceptable,unacceptable,predictable,unpredictable
acceptable,unacceptable,published,unpublished
acceptable,unacceptable,realistic,unrealistic
acceptable,unacceptable,reasonable,unreasonable
acceptable,unacceptable,related,unrelated
acceptable,unacceptable,reliable,unreliable
acceptable,unacceptable,resolved,unresolved
acceptable,unacceptable,restricted,unrestricted
acceptable,unacceptable,satisfactory,unsatisfactory
acceptable,unacceptable,specified,unspecified
acceptable,unacceptable,successful,unsuccessful
acceptable,unacceptable,suitable,unsuitable
acceptable,unacceptable,sustainable,unsustainable
acceptable,unacceptable,used,unused
acceptable,unacceptable,usual,unusual
acceptable,unacceptable,veiled,unveiled
acceptable,unacceptable,wanted,unwanted
affected,unaffected,authorized,unauthorized
affected,unaffected,authorized,unauthorised
affected,unaffected,available,unavailable
affected,unaffected,avoidable,unavoidable
affected,unaffected,aware,unaware
affected,unaffected,believable,unbelievable
affected,unaffected,biased,unbiased
affected,unaffected,certain,uncertain
affected,unaffected,changed,unchanged
affected,unaffected,comfortable,uncomfortable
affected,unaffected,conditional,unconditional
affected,unaffected,conscious,unconscious
affected,unaffected,controlled,uncontrolled
affected,unaffected,desirable,undesirable
affected,unaffected,employed,unemployed
affected,unaffected,expected,unexpected
affected,unaffected,finished,unfinished
affected,unaffected,forgettable,unforgettable
affected,unaffected,fortunate,unfortunate
affected,unaffected,happy,unhappy
affected,unaffected,healthy,unhealthy
affected,unaffected,identified,unidentified
affected,unaffected,intended,unintended
affected,unaffected,interrupted,uninterrupted
affected,unaffected,known,unknown
affected,unaffected,lawful,unlawful
