acquire,reacquire,adjust,readjust
acquire,reacquire,appear,reappear
acquire,reacquire,apply,reapply
acquire,reacquire,appoint,reappoint
acquire,reacquire,arrange,rearrange
acquire,reacquire,assess,reassess
acquire,reacquire,assign,reassign
acquire,reacquire,assure,reassure
acquire,reacquire,calculate,recalculate
acquire,reacquire,commend,recommend
acquire,reacquire,configure,reconfigure
acquire,reacquire,confirm,reconfirm
acquire,reacquire,connect,reconnect
acquire,reacquire,consider,reconsider
acquire,reacquire,create,recreate
acquire,reacquire,decorate,redecorate
acquire,reacquire,deem,redeem
acquire,reacquire,define,redefine
acquire,reacquire,develop,redevelop
acquire,reacquire,discover,rediscover
acquire,reacquire,distribute,redistribute
acquire,reacquire,emerge,reemerge
acquire,reacquire,engage,reengage
acquire,reacquire,establish,reestablish
acquire,reacquire,evaluate,reevaluate
acquire,reacquire,examine,reexamine
acquire,reacquire,generate,regenerate
acquire,reacquire,grow,regrow
acquire,reacquire,install,reinstall
acquire,reacquire,integrate,reintegrate
acquire,reacquire,interpret,reinterpret
acquire,reacquire,introduce,reintroduce
acquire,reacquire,invest,reinvest
acquire,reacquire,investigate,reinvestigate
acquire,reacquire,learn,relearn
acquire,reacquire,locate,relocate
acquire,reacquire,marry,remarry
acquire,reacquire,negotiate,renegotiate
acquire,reacquire,occur,reoccur
acquire,reacquire,organize,reorganize
acquire,reacquire,organize,reorganise
acquire,reacquire,publish,republish
acquire,reacquire,send,resend
acquire,reacquire,solve,resolve
acquire,reacquire,submit,resubmit
acquire,reacquire,tell,retell
acquire,reacquire,unite,reunite
acquire,reacquire,write,rewrite
adjust,readjust,appear,reappear
adjust,readjust,apply,reapply
adjust,readjust,appoint,reappoint
adjust,readjust,arrange,rearrange
adjust,readjust,assess,reassess
adjust,readjust,assign,reassign
adjust,readjust,assure,reassure
adjust,readjust,calculate,recalculate
adjust,readjust,commend,recommend
adjust,readjust,configure,reconfigure
adjust,readjust,confirm,reconfirm
adjust,readjust,connect,reconnect
adjust,readjust,consider,reconsider
adjust,readjust,create,recreate
adjust,readjust,decorate,redecorate
adjust,readjust,deem,redeem
adjust,readjust,define,redefine
adjust,readjust,develop,redevelop
adjust,readjust,discover,rediscover
adjust,readjust,distribute,redistribute
adjust,readjust,emerge,reemerge
adjust,readjust,engage,reengage
adjust,readjust,establish,reestablish
adjust,readjust,evaluate,reevaluate
adjust,readjust,examine,reexamine
adjust,readjust,generate,regenerate
