actor,actress,batman,batwoman
actor,actress,boar,sow
actor,actress,boy,girl
actor,actress,brother,sister
actor,actress,buck,doe
actor,actress,bull,cow
actor,actress,businessman,businesswoman
actor,actress,chairman,chairwoman
actor,actress,dad,mom
actor,actress,dad,mum
actor,actress,daddy,mommy
actor,actress,daddy,mother
actor,actress,daddy,mom
actor,actress,duke,duchess
actor,actress,emperor,empress
actor,actress,father,mother
actor,actress,fisherman,fisherwoman
actor,actress,fox,vixen
actor,actress,gentleman,lady
actor,actress,gentleman,gentlewoman
actor,actress,gentleman,madam
actor,actress,god,goddess
actor,actress,grandfather,grandmother
actor,actress,grandpa,grandma
actor,actress,grandson,granddaughter
actor,actress,groom,bride
actor,actress,headmaster,headmistress
actor,actress,heir,heiress
actor,actress,hero,heroine
actor,actress,hound,bitch
actor,actress,husband,wife
actor,actress,king,queen
actor,actress,lion,lioness
actor,actress,man,woman
actor,actress,manager,manageress
actor,actress,mister,miss
actor,actress,mister,missus
actor,actress,mister,mrs
actor,actress,mister,ms
actor,actress,mister,madam
actor,actress,murderer,murderess
actor,actress,nephew,niece
actor,actress,poet,poetess
actor,actress,policeman,policewoman
actor,actress,prince,princess
actor,actress,ram,ewe
actor,actress,rooster,hen
actor,actress,sculptor,sculptress
actor,actress,sir,madam
actor,actress,son,daughter
actor,actress,stallion,mare
actor,actress,stepfather,stepmother
actor,actress,superman,superwoman
actor,actress,tiger,tigress
actor,actress,uncle,aunt
actor,actress,valet,maid
actor,actress,valet,maidservant
actor,actress,valet,housemaid
actor,actress,valet,chambermaid
actor,actress,valet,handmaid
actor,actress,valet,handmaiden
actor,actress,waiter,waitress
batman,batwoman,boar,sow
batman,batwoman,boy,girl
batman,batwoman,brother,sister
batman,batwoman,buck,doe
batman,batwoman,bull,cow
batman,batwoman,businessman,businesswoman
batman,batwoman,chairman,chairwoman
batman,batwoman,dad,mom
batman,batwoman,dad,mum
batman,batwoman,daddy,mommy
batman,batwoman,daddy,mother
batman,batwoman,daddy,mom
batman,batwoman,duke,duchess
batman,batwoman,emperor,empress
batman,batwoman,father,mother
batman,batwoman,fisherman,fisherwoman
batman,batwoman,fox,vixen
batman,batwoman,gentleman,lady
batman,batwoman,gentleman,gentlewoman
batman,batwoman,gentleman,madam
batman,batwoman,god,goddess
batman,batwoman,grandfather,grandmother
batman,batwoman,grandpa,grandma
batman,batwoman,grandson,granddaughter
batman,batwoman,groom,bride
batman,batwoman,headmaster,headmistress
batman,batwoman,heir,heiress
batman,batwoman,hero,heroine
batman,batwoman,hound,bitch
batman,batwoman,husband,wife
batman,batwoman,king,queen
batman,batwoman,lion,lioness
batman,batwoman,man,woman
batman,batwoman,manager,manageress
batman,batwoman,mister,miss
batman,batwoman,mister,missus
batman,batwoman,mister,mrs
batman,batwoman,mister,ms
batman,batwoman,mister,madam
batman,batwoman,murderer,murderess
batman,batwoman,nephew,niece
batman,batwoman,poet,poetess
batman,batwoman,policeman,policewoman
batman,batwoman,prince,princess
batman,batwoman,ram,ewe
batman,batwoman,rooster,hen
batman,batwoman,sculptor,sculptress
batman,batwoman,sir,madam
batman,batwoman,son,daughter
batman,batwoman,stallion,mare
batman,batwoman,stepfather,stepmother
batman,batwoman,superman,superwoman
batman,batwoman,tiger,tigress
batman,batwoman,uncle,aunt
batman,batwoman,valet,maid
batman,batwoman,valet,maidservant
batman,batwoman,valet,housemaid
batman,batwoman,valet,chambermaid
batman,batwoman,valet,handmaid
batman,batwoman,valet,handmaiden
batman,batwoman,waiter,waitress
boar,sow,boy,girl
boar,sow,brother,sister
boar,sow,buck,doe
boar,sow,bull,cow
boar,sow,businessman,businesswoman
boar,sow,chairman,chairwoman
boar,sow,dad,mom
boar,sow,dad,mum
boar,sow,daddy,mommy
boar,sow,daddy,mother
boar,sow,daddy,mom
boar,sow,duke,duchess
boar,sow,emperor,empress
boar,sow,father,mother
boar,sow,fisherman,fisherwoman
boar,sow,fox,vixen
boar,sow,gentleman,lady
boar,sow,gentleman,gentlewoman
boar,sow,gentleman,madam
boar,sow,god,goddess
boar,sow,grandfather,grandmother
boar,sow,grandpa,grandma
boar,sow,grandson,granddaughter
boar,sow,groom,bride
boar,sow,headmaster,headmistress
boar,sow,heir,heiress
boar,sow,hero,heroine
boar,sow,hound,bitch
boar,sow,husband,wife
boar,sow,king,queen
boar,sow,lion,lioness
boar,sow,man,woman
boar,sow,manager,manageress
boar,sow,mister,miss
boar,sow,mister,missus
boar,sow,mister,mrs
boar,sow,mister,ms
boar,sow,mister,madam
boar,sow,murderer,murderess
boar,sow,nephew,niece
boar,sow,poet,poetess
boar,sow,policeman,policewoman
boar,sow,prince,princess
boar,sow,ram,ewe
boar,sow,rooster,hen
boar,sow,sculptor,sculptress
boar,sow,sir,madam
boar,sow,son,daughter
