wine,drink,administrator,power,2
wine,drink,armistice,peace,2
wine,drink,ascetic,austerity,2
wine,drink,athlete,skinny,2
wine,drink,baby,helpless,2
wine,drink,ballerina,grace,2
wine,drink,child,innocence,2
wine,drink,corpse,death,2
wine,drink,coward,fear,2
wine,drink,development,draft,2
wine,drink,entrepreneur,wealth,2
wine,drink,expert,knowledge,2
wine,drink,fire,warmth,2
wine,drink,forgetful,aloof,2
wine,drink,ice,cold,2
wine,drink,idiot,stupidity,2
wine,drink,invalid,illness,2
wine,drink,menopause,emotional,2
wine,drink,millionaire,riches,2
wine,drink,nun,chastity,2
wine,drink,pacifist,peace,2
wine,drink,prisoner,punishment,2
wine,drink,psychotic,insanity,2
wine,drink,saint,holiness,2
wine,drink,scholar,intelligence,2
wine,drink,society,citizen,2
wine,drink,soldier,war,2
wine,drink,star,brightness,2
wine,drink,virgin,purity,2
administrator,power,armistice,peace,2
administrator,power,ascetic,austerity,2
administrator,power,athlete,skinny,2
administrator,power,baby,helpless,2
administrator,power,ballerina,grace,2
administrator,power,child,innocence,2
administrator,power,corpse,death,2
administrator,power,coward,fear,2
administrator,power,development,draft,2
administrator,power,entrepreneur,wealth,2
administrator,power,expert,knowledge,2
administrator,power,fire,warmth,2
administrator,power,forgetful,aloof,2
administrator,power,ice,cold,2
administrator,power,idiot,stupidity,2
administrator,power,invalid,illness,2
administrator,power,menopause,emotional,2
administrator,power,millionaire,riches,2
administrator,power,nun,chastity,2
administrator,power,pacifist,peace,2
administrator,power,prisoner,punishment,2
administrator,power,psychotic,insanity,2
administrator,power,saint,holiness,2
administrator,power,scholar,intelligence,2
administrator,power,society,citizen,2
administrator,power,soldier,war,2
administrator,power,star,brightness,2
administrator,power,virgin,purity,2
armistice,peace,ascetic,austerity,2
armistice,peace,athlete,skinny,2
armistice,peace,baby,helpless,2
armistice,peace,ballerina,grace,2
armistice,peace,child,innocence,2
armistice,peace,corpse,death,2
armistice,peace,coward,fear,2
armistice,peace,development,draft,2
armistice,peace,entrepreneur,wealth,2
armistice,peace,expert,knowledge,2
armistice,peace,fire,warmth,2
armistice,peace,forgetful,aloof,2
armistice,peace,ice,cold,2
armistice,peace,idiot,stupidity,2
armistice,peace,invalid,illness,2
armistice,peace,menopause,emotional,2
armistice,peace,millionaire,riches,2
armistice,peace,nun,chastity,2
armistice,peace,pacifist,peace,2
armistice,peace,prisoner,punishment,2
armistice,peace,psychotic,insanity,2
armistice,peace,saint,holiness,2
armistice,peace,scholar,intelligence,2
armistice,peace,society,citizen,2
armistice,peace,soldier,war,2
armistice,peace,star,brightness,2
armistice,peace,virgin,purity,2
ascetic,austerity,athlete,skinny,2
ascetic,austerity,baby,helpless,2
ascetic,austerity,ballerina,grace,2
ascetic,austerity,child,innocence,2
ascetic,austerity,corpse,death,2
ascetic,austerity,coward,fear,2
ascetic,austerity,development,draft,2
ascetic,austerity,entrepreneur,wealth,2
ascetic,austerity,expert,knowledge,2
ascetic,austerity,fire,warmth,2
ascetic,austerity,forgetful,aloof,2
ascetic,austerity,ice,cold,2
ascetic,austerity,idiot,stupidity,2
ascetic,austerity,invalid,illness,2
ascetic,austerity,menopause,emotional,2
ascetic,austerity,millionaire,riches,2
ascetic,austerity,nun,chastity,2
ascetic,austerity,pacifist,peace,2
ascetic,austerity,prisoner,punishment,2
ascetic,austerity,psychotic,insanity,2
ascetic,austerity,saint,holiness,2
ascetic,austerity,scholar,intelligence,2
ascetic,austerity,society,citizen,2
ascetic,austerity,soldier,war,2
ascetic,austerity,star,brightness,2
ascetic,austerity,virgin,purity,2
athlete,skinny,baby,helpless,2
athlete,skinny,ballerina,grace,2
athlete,skinny,child,innocence,2
athlete,skinny,corpse,death,2
athlete,skinny,coward,fear,2
athlete,skinny,development,draft,2
athlete,skinny,entrepreneur,wealth,2
athlete,skinny,expert,knowledge,2
athlete,skinny,fire,warmth,2
athlete,skinny,forgetful,aloof,2
athlete,skinny,ice,cold,2
athlete,skinny,idiot,stupidity,2
athlete,skinny,invalid,illness,2
athlete,skinny,menopause,emotional,2
athlete,skinny,millionaire,riches,2
athlete,skinny,nun,chastity,2
athlete,skinny,pacifist,peace,2
athlete,skinny,prisoner,punishment,2
athlete,skinny,psychotic,insanity,2
athlete,skinny,saint,holiness,2
athlete,skinny,scholar,intelligence,2
athlete,skinny,society,citizen,2
athlete,skinny,soldier,war,2
athlete,skinny,star,brightness,2
athlete,skinny,virgin,purity,2
baby,helpless,ballerina,grace,2
baby,helpless,child,innocence,2
baby,helpless,corpse,death,2
baby,helpless,coward,fear,2
baby,helpless,development,draft,2
baby,helpless,entrepreneur,wealth,2
baby,helpless,expert,knowledge,2
baby,helpless,fire,warmth,2
baby,helpless,forgetful,aloof,2
baby,helpless,ice,cold,2
baby,helpless,idiot,stupidity,2
baby,helpless,invalid,illness,2
baby,helpless,menopause,emotional,2
baby,helpless,millionaire,riches,2
baby,helpless,nun,chastity,2
baby,helpless,pacifist,peace,2
baby,helpless,prisoner,punishment,2
baby,helpless,psychotic,insanity,2
baby,helpless,saint,holiness,2
baby,helpless,scholar,intelligence,2
baby,helpless,society,citizen,2
baby,helpless,soldier,war,2
baby,helpless,star,brightness,2
baby,helpless,virgin,purity,2
ballerina,grace,child,innocence,2
ballerina,grace,corpse,death,2
ballerina,grace,coward,fear,2
ballerina,grace,development,draft,2
ballerina,grace,entrepreneur,wealth,2
ballerina,grace,expert,knowledge,2
ballerina,grace,fire,warmth,2
ballerina,grace,forgetful,aloof,2
ballerina,grace,ice,cold,2
ballerina,grace,idiot,stupidity,2
ballerina,grace,invalid,illness,2
ballerina,grace,menopause,emotional,2
ballerina,grace,millionaire,riches,2
ballerina,grace,nun,chastity,2
ballerina,grace,pacifist,peace,2
ballerina,grace,prisoner,punishment,2
ballerina,grace,psychotic,insanity,2
ballerina,grace,saint,holiness,2
ballerina,grace,scholar,intelligence,2
ballerina,grace,society,citizen,2
ballerina,grace,soldier,war,2
ballerina,grace,star,brightness,2
ballerina,grace,virgin,purity,2
child,innocence,corpse,death,2
child,innocence,coward,fear,2
child,innocence,development,draft,2
child,innocence,entrepreneur,wealth,2
child,innocence,expert,knowledge,2
child,innocence,fire,warmth,2
child,innocence,forgetful,aloof,2
child,innocence,ice,cold,2
child,innocence,idiot,stupidity,2
child,innocence,invalid,illness,2
child,innocence,menopause,emotional,2
child,innocence,millionaire,riches,2
child,innocence,nun,chastity,2
child,innocence,pacifist,peace,2
child,innocence,prisoner,punishment,2
child,innocence,psychotic,insanity,2
child,innocence,saint,holiness,2
child,innocence,scholar,intelligence,2
child,innocence,society,citizen,2
child,innocence,soldier,war,2
child,innocence,star,brightness,2
child,innocence,virgin,purity,2
corpse,death,coward,fear,2
corpse,death,development,draft,2
corpse,death,entrepreneur,wealth,2
corpse,death,expert,knowledge,2
corpse,death,fire,warmth,2
corpse,death,forgetful,aloof,2
corpse,death,ice,cold,2
corpse,death,idiot,stupidity,2
corpse,death,invalid,illness,2
corpse,death,menopause,emotional,2
corpse,death,millionaire,riches,2
corpse,death,nun,chastity,2
corpse,death,pacifist,peace,2
corpse,death,prisoner,punishment,2
corpse,death,psychotic,insanity,2
corpse,death,saint,holiness,2
corpse,death,scholar,intelligence,2
corpse,death,society,citizen,2
corpse,death,soldier,war,2
corpse,death,star,brightness,2
corpse,death,virgin,purity,2
coward,fear,development,draft,2
coward,fear,entrepreneur,wealth,2
coward,fear,expert,knowledge,2
coward,fear,fire,warmth,2
