winner,victory,addict,use,3
winner,victory,artist,paint,3
winner,victory,baby,cry,3
winner,victory,bag,contain,3
winner,victory,boxer,fight,3
winner,victory,chef,cook,3
winner,victory,cloud,rain,3
winner,victory,computer,compute,3
winner,victory,doctor,cure,3
winner,victory,dog,bark,3
winner,victory,door,close,3
winner,victory,dynamite,explode,3
winner,victory,educator,teach,3
winner,victory,fire,burn,3
winner,victory,fish,swim,3
winner,victory,heart,beat,3
winner,victory,housekeeper,dust,3
winner,victory,ice,melt,3
winner,victory,knife,stab,3
winner,victory,lion,roar,3
winner,victory,musician,play,3
winner,victory,pastor,preach,3
winner,victory,rabbit,hop,3
winner,victory,shovel,dig,3
winner,victory,student,learn,3
winner,victory,sun,shine,3
winner,victory,switch,flip,3
winner,victory,tailor,sew,3
winner,victory,tree,grow,3
winner,victory,water,flow,3
addict,use,artist,paint,3
addict,use,baby,cry,3
addict,use,bag,contain,3
addict,use,boxer,fight,3
addict,use,chef,cook,3
addict,use,cloud,rain,3
addict,use,computer,compute,3
addict,use,doctor,cure,3
addict,use,dog,bark,3
addict,use,door,close,3
addict,use,dynamite,explode,3
addict,use,educator,teach,3
addict,use,fire,burn,3
addict,use,fish,swim,3
addict,use,heart,beat,3
addict,use,housekeeper,dust,3
addict,use,ice,melt,3
addict,use,knife,stab,3
addict,use,lion,roar,3
addict,use,musician,play,3
addict,use,pastor,preach,3
addict,use,rabbit,hop,3
addict,use,shovel,dig,3
addict,use,student,learn,3
addict,use,sun,shine,3
addict,use,switch,flip,3
addict,use,tailor,sew,3
addict,use,tree,grow,3
addict,use,water,flow,3
artist,paint,baby,cry,3
artist,paint,bag,contain,3
artist,paint,boxer,fight,3
artist,paint,chef,cook,3
artist,paint,cloud,rain,3
artist,paint,computer,compute,3
artist,paint,doctor,cure,3
artist,paint,dog,bark,3
artist,paint,door,close,3
artist,paint,dynamite,explode,3
artist,paint,educator,teach,3
artist,paint,fire,burn,3
artist,paint,fish,swim,3
artist,paint,heart,beat,3
artist,paint,housekeeper,dust,3
artist,paint,ice,melt,3
artist,paint,knife,stab,3
artist,paint,lion,roar,3
artist,paint,musician,play,3
artist,paint,pastor,preach,3
artist,paint,rabbit,hop,3
artist,paint,shovel,dig,3
artist,paint,student,learn,3
artist,paint,sun,shine,3
artist,paint,switch,flip,3
artist,paint,tailor,sew,3
artist,paint,tree,grow,3
artist,paint,water,flow,3
baby,cry,bag,contain,3
baby,cry,boxer,fight,3
baby,cry,chef,cook,3
baby,cry,cloud,rain,3
baby,cry,computer,compute,3
baby,cry,doctor,cure,3
baby,cry,dog,bark,3
baby,cry,door,close,3
baby,cry,dynamite,explode,3
baby,cry,educator,teach,3
baby,cry,fire,burn,3
baby,cry,fish,swim,3
baby,cry,heart,beat,3
baby,cry,housekeeper,dust,3
baby,cry,ice,melt,3
baby,cry,knife,stab,3
baby,cry,lion,roar,3
baby,cry,musician,play,3
baby,cry,pastor,preach,3
baby,cry,rabbit,hop,3
baby,cry,shovel,dig,3
baby,cry,student,learn,3
baby,cry,sun,shine,3
baby,cry,switch,flip,3
baby,cry,tailor,sew,3
baby,cry,tree,grow,3
baby,cry,water,flow,3
bag,contain,boxer,fight,3
bag,contain,chef,cook,3
bag,contain,cloud,rain,3
bag,contain,computer,compute,3
bag,contain,doctor,cure,3
bag,contain,dog,bark,3
bag,contain,door,close,3
bag,contain,dynamite,explode,3
bag,contain,educator,teach,3
bag,contain,fire,burn,3
bag,contain,fish,swim,3
bag,contain,heart,beat,3
bag,contain,housekeeper,dust,3
bag,contain,ice,melt,3
bag,contain,knife,stab,3
bag,contain,lion,roar,3
bag,contain,musician,play,3
bag,contain,pastor,preach,3
bag,contain,rabbit,hop,3
bag,contain,shovel,dig,3
bag,contain,student,learn,3
bag,contain,sun,shine,3
bag,contain,switch,flip,3
bag,contain,tailor,sew,3
bag,contain,tree,grow,3
bag,contain,water,flow,3
boxer,fight,chef,cook,3
boxer,fight,cloud,rain,3
boxer,fight,computer,compute,3
boxer,fight,doctor,cure,3
boxer,fight,dog,bark,3
boxer,fight,door,close,3
boxer,fight,dynamite,explode,3
boxer,fight,educator,teach,3
boxer,fight,fire,burn,3
boxer,fight,fish,swim,3
boxer,fight,heart,beat,3
boxer,fight,housekeeper,dust,3
boxer,fight,ice,melt,3
boxer,fight,knife,stab,3
boxer,fight,lion,roar,3
boxer,fight,musician,play,3
boxer,fight,pastor,preach,3
boxer,fight,rabbit,hop,3
boxer,fight,shovel,dig,3
boxer,fight,student,learn,3
boxer,fight,sun,shine,3
