work,earn,addict,fix,5
work,earn,arsonist,fire,5
work,earn,astronaut,space,5
work,earn,athlete,championship,5
work,earn,chef,meal,5
work,earn,christian,heaven,5
work,earn,dancer,applause,5
work,earn,doctor,wellness,5
work,earn,farmer,food,5
work,earn,gambler,millionaire,5
work,earn,hunter,prey,5
work,earn,lawyer,justice,5
work,earn,man,sex,5
work,earn,mediator,reconciliation,5
work,earn,midwife,babies,5
work,earn,musician,applause,5
work,earn,painter,portrait,5
work,earn,patient,health,5
work,earn,politician,office,5
work,earn,runner,finish,5
work,earn,seamstress,dress,5
work,earn,singer,contract,5
work,earn,student,degree,5
work,earn,students,graduation,5
work,earn,team,trophy,5
work,earn,traveler,destination,5
addict,fix,arsonist,fire,5
addict,fix,astronaut,space,5
addict,fix,athlete,championship,5
addict,fix,chef,meal,5
addict,fix,christian,heaven,5
addict,fix,dancer,applause,5
addict,fix,doctor,wellness,5
addict,fix,farmer,food,5
addict,fix,gambler,millionaire,5
addict,fix,hunter,prey,5
addict,fix,lawyer,justice,5
addict,fix,man,sex,5
addict,fix,mediator,reconciliation,5
addict,fix,midwife,babies,5
addict,fix,musician,applause,5
addict,fix,painter,portrait,5
addict,fix,patient,health,5
addict,fix,politician,office,5
addict,fix,runner,finish,5
addict,fix,seamstress,dress,5
addict,fix,singer,contract,5
addict,fix,student,degree,5
addict,fix,students,graduation,5
addict,fix,team,trophy,5
addict,fix,traveler,destination,5
arsonist,fire,astronaut,space,5
arsonist,fire,athlete,championship,5
arsonist,fire,chef,meal,5
arsonist,fire,christian,heaven,5
arsonist,fire,dancer,applause,5
arsonist,fire,doctor,wellness,5
arsonist,fire,farmer,food,5
arsonist,fire,gambler,millionaire,5
arsonist,fire,hunter,prey,5
arsonist,fire,lawyer,justice,5
arsonist,fire,man,sex,5
arsonist,fire,mediator,reconciliation,5
arsonist,fire,midwife,babies,5
arsonist,fire,musician,applause,5
arsonist,fire,painter,portrait,5
arsonist,fire,patient,health,5
arsonist,fire,politician,office,5
arsonist,fire,runner,finish,5
arsonist,fire,seamstress,dress,5
arsonist,fire,singer,contract,5
arsonist,fire,student,degree,5
arsonist,fire,students,graduation,5
arsonist,fire,team,trophy,5
arsonist,fire,traveler,destination,5
astronaut,space,athlete,championship,5
astronaut,space,chef,meal,5
astronaut,space,christian,heaven,5
astronaut,space,dancer,applause,5
astronaut,space,doctor,wellness,5
astronaut,space,farmer,food,5
astronaut,space,gambler,millionaire,5
astronaut,space,hunter,prey,5
astronaut,space,lawyer,justice,5
astronaut,space,man,sex,5
astronaut,space,mediator,reconciliation,5
astronaut,space,midwife,babies,5
astronaut,space,musician,applause,5
astronaut,space,painter,portrait,5
astronaut,space,patient,health,5
astronaut,space,politician,office,5
astronaut,space,runner,finish,5
astronaut,space,seamstress,dress,5
astronaut,space,singer,contract,5
astronaut,space,student,degree,5
astronaut,space,students,graduation,5
astronaut,space,team,trophy,5
astronaut,space,traveler,destination,5
athlete,championship,chef,meal,5
athlete,championship,christian,heaven,5
athlete,championship,dancer,applause,5
athlete,championship,doctor,wellness,5
athlete,championship,farmer,food,5
athlete,championship,gambler,millionaire,5
athlete,championship,hunter,prey,5
athlete,championship,lawyer,justice,5
athlete,championship,man,sex,5
athlete,championship,mediator,reconciliation,5
athlete,championship,midwife,babies,5
athlete,championship,musician,applause,5
athlete,championship,painter,portrait,5
athlete,championship,patient,health,5
athlete,championship,politician,office,5
athlete,championship,runner,finish,5
athlete,championship,seamstress,dress,5
athlete,championship,singer,contract,5
athlete,championship,student,degree,5
athlete,championship,students,graduation,5
athlete,championship,team,trophy,5
athlete,championship,traveler,destination,5
chef,meal,christian,heaven,5
chef,meal,dancer,applause,5
chef,meal,doctor,wellness,5
chef,meal,farmer,food,5
chef,meal,gambler,millionaire,5
chef,meal,hunter,prey,5
chef,meal,lawyer,justice,5
chef,meal,man,sex,5
chef,meal,mediator,reconciliation,5
chef,meal,midwife,babies,5
chef,meal,musician,applause,5
chef,meal,painter,portrait,5
chef,meal,patient,health,5
chef,meal,politician,office,5
chef,meal,runner,finish,5
chef,meal,seamstress,dress,5
chef,meal,singer,contract,5
