workers,salary,anger,yell,6
workers,salary,anxiety,breathe,6
workers,salary,avarice,scheme,6
workers,salary,carefully,clumsiness,6
workers,salary,clumsiness,carefully,6
workers,salary,coldness,shiver,6
workers,salary,danger,flee,6
workers,salary,dirty,bathe,6
workers,salary,dizzy,drunk,6
workers,salary,embarrassed,blush,6
workers,salary,emptiness,fill,6
workers,salary,fat,exercise,6
workers,salary,fright,scream,6
workers,salary,happiness,smile,6
workers,salary,heat,sweat,6
workers,salary,joy,skip,6
workers,salary,loneliness,socialize,6
workers,salary,murderer,flee,6
workers,salary,nervousness,sweat,6
workers,salary,obesity,exercise,6
workers,salary,pain,treatment,6
workers,salary,poison,illness,6
workers,salary,sadness,cry,6
workers,salary,sick,rest,6
workers,salary,song,sing,6
workers,salary,thirst,drink,6
workers,salary,thirsty,drink,6
anger,yell,anxiety,breathe,6
anger,yell,avarice,scheme,6
anger,yell,carefully,clumsiness,6
anger,yell,clumsiness,carefully,6
anger,yell,coldness,shiver,6
anger,yell,danger,flee,6
anger,yell,dirty,bathe,6
anger,yell,dizzy,drunk,6
anger,yell,embarrassed,blush,6
anger,yell,emptiness,fill,6
anger,yell,fat,exercise,6
anger,yell,fright,scream,6
anger,yell,happiness,smile,6
anger,yell,heat,sweat,6
anger,yell,joy,skip,6
anger,yell,loneliness,socialize,6
anger,yell,murderer,flee,6
anger,yell,nervousness,sweat,6
anger,yell,obesity,exercise,6
anger,yell,pain,treatment,6
anger,yell,poison,illness,6
anger,yell,sadness,cry,6
anger,yell,sick,rest,6
anger,yell,song,sing,6
anger,yell,thirst,drink,6
anger,yell,thirsty,drink,6
anxiety,breathe,avarice,scheme,6
anxiety,breathe,carefully,clumsiness,6
anxiety,breathe,clumsiness,carefully,6
anxiety,breathe,coldness,shiver,6
anxiety,breathe,danger,flee,6
anxiety,breathe,dirty,bathe,6
anxiety,breathe,dizzy,drunk,6
anxiety,breathe,embarrassed,blush,6
anxiety,breathe,emptiness,fill,6
anxiety,breathe,fat,exercise,6
anxiety,breathe,fright,scream,6
anxiety,breathe,happiness,smile,6
anxiety,breathe,heat,sweat,6
anxiety,breathe,joy,skip,6
anxiety,breathe,loneliness,socialize,6
anxiety,breathe,murderer,flee,6
anxiety,breathe,nervousness,sweat,6
anxiety,breathe,obesity,exercise,6
anxiety,breathe,pain,treatment,6
anxiety,breathe,poison,illness,6
anxiety,breathe,sadness,cry,6
anxiety,breathe,sick,rest,6
anxiety,breathe,song,sing,6
anxiety,breathe,thirst,drink,6
anxiety,breathe,thirsty,drink,6
avarice,scheme,carefully,clumsiness,6
avarice,scheme,clumsiness,carefully,6
avarice,scheme,coldness,shiver,6
avarice,scheme,danger,flee,6
avarice,scheme,dirty,bathe,6
avarice,scheme,dizzy,drunk,6
avarice,scheme,embarrassed,blush,6
avarice,scheme,emptiness,fill,6
avarice,scheme,fat,exercise,6
avarice,scheme,fright,scream,6
avarice,scheme,happiness,smile,6
avarice,scheme,heat,sweat,6
avarice,scheme,joy,skip,6
avarice,scheme,loneliness,socialize,6
avarice,scheme,murderer,flee,6
avarice,scheme,nervousness,sweat,6
avarice,scheme,obesity,exercise,6
avarice,scheme,pain,treatment,6
avarice,scheme,poison,illness,6
avarice,scheme,sadness,cry,6
avarice,scheme,sick,rest,6
avarice,scheme,song,sing,6
avarice,scheme,thirst,drink,6
avarice,scheme,thirsty,drink,6
carefully,clumsiness,clumsiness,carefully,6
carefully,clumsiness,coldness,shiver,6
carefully,clumsiness,danger,flee,6
carefully,clumsiness,dirty,bathe,6
carefully,clumsiness,dizzy,drunk,6
carefully,clumsiness,embarrassed,blush,6
