telephone,call,acetaminophen,headache,11
telephone,call,acid,base,11
telephone,call,activity,boredom,11
telephone,call,antibiotic,infection,11
telephone,call,antibiotics,bacteria,11
telephone,call,cat,mouse,11
telephone,call,cure,disease,11
telephone,call,education,ignorance,11
telephone,call,fast,slow,11
telephone,call,food,hunger,11
telephone,call,fungicide,fungus,11
telephone,call,good,bad,11
telephone,call,happy,sad,11
telephone,call,immunization,disease,11
telephone,call,insecticide,bugs,11
telephone,call,knowledge,ignorance,11
telephone,call,locks,theft,11
telephone,call,mediation,conflict,11
telephone,call,medicine,disease,11
telephone,call,money,poverty,11
telephone,call,nice,evil,11
telephone,call,preparation,disaster,11
telephone,call,rest,exhaustion,11
telephone,call,shot,disease,11
telephone,call,sleep,exhaustion,11
telephone,call,sun,darkness,11
telephone,call,swimming,drowning,11
telephone,call,vaccine,virus,11
acetaminophen,headache,acid,base,11
acetaminophen,headache,activity,boredom,11
acetaminophen,headache,antibiotic,infection,11
acetaminophen,headache,antibiotics,bacteria,11
acetaminophen,headache,cat,mouse,11
acetaminophen,headache,cure,disease,11
acetaminophen,headache,education,ignorance,11
acetaminophen,headache,fast,slow,11
acetaminophen,headache,food,hunger,11
acetaminophen,headache,fungicide,fungus,11
acetaminophen,headache,good,bad,11
acetaminophen,headache,happy,sad,11
acetaminophen,headache,immunization,disease,11
acetaminophen,headache,insecticide,bugs,11
acetaminophen,headache,knowledge,ignorance,11
acetaminophen,headache,locks,theft,11
acetaminophen,headache,mediation,conflict,11
acetaminophen,headache,medicine,disease,11
acetaminophen,headache,money,poverty,11
acetaminophen,headache,nice,evil,11
acetaminophen,headache,preparation,disaster,11
acetaminophen,headache,rest,exhaustion,11
acetaminophen,headache,shot,disease,11
acetaminophen,headache,sleep,exhaustion,11
acetaminophen,headache,sun,darkness,11
acetaminophen,headache,swimming,drowning,11
acetaminophen,headache,vaccine,virus,11
acid,base,activity,boredom,11
acid,base,antibiotic,infection,11
acid,base,antibiotics,bacteria,11
acid,base,cat,mouse,11
acid,base,cure,disease,11
acid,base,education,ignorance,11
acid,base,fast,slow,11
acid,base,food,hunger,11
acid,base,fungicide,fungus,11
acid,base,good,bad,11
acid,base,happy,sad,11
acid,base,immunization,disease,11
acid,base,insecticide,bugs,11
acid,base,knowledge,ignorance,11
acid,base,locks,theft,11
acid,base,mediation,conflict,11
acid,base,medicine,disease,11
acid,base,money,poverty,11
acid,base,nice,evil,11
