veil,face,cough,illness,20
veil,face,crying,sadness,20
veil,face,discourse,relationship,20
veil,face,frown,anger,20
veil,face,glare,anger,20
veil,face,grimace,disgust,20
veil,face,groan,pain,20
veil,face,growl,danger,20
veil,face,handshake,cordiality,20
veil,face,kiss,love,20
veil,face,laugh,amusement,20
veil,face,laughter,amusement,20
veil,face,lie,dishonesty,20
veil,face,nod,agreement,20
veil,face,punch,hatred,20
veil,face,scream,terror,20
veil,face,sigh,exhaustion,20
veil,face,slap,anger,20
veil,face,snarl,anger,20
veil,face,tear,sadness,20
veil,face,tears,sadness,20
veil,face,wave,acknowledgment,20
veil,face,wink,friendliness,20
veil,face,yawn,boredom,20
cough,illness,crying,sadness,20
cough,illness,discourse,relationship,20
cough,illness,frown,anger,20
cough,illness,glare,anger,20
cough,illness,grimace,disgust,20
cough,illness,groan,pain,20
cough,illness,growl,danger,20
cough,illness,handshake,cordiality,20
cough,illness,kiss,love,20
cough,illness,laugh,amusement,20
cough,illness,laughter,amusement,20
cough,illness,lie,dishonesty,20
cough,illness,nod,agreement,20
cough,illness,punch,hatred,20
cough,illness,scream,terror,20
cough,illness,sigh,exhaustion,20
cough,illness,slap,anger,20
cough,illness,snarl,anger,20
cough,illness,tear,sadness,20
cough,illness,tears,sadness,20
cough,illness,wave,acknowledgment,20
cough,illness,wink,friendliness,20
cough,illness,yawn,boredom,20
crying,sadness,discourse,relationship,20
crying,sadness,frown,anger,20
crying,sadness,glare,anger,20
crying,sadness,grimace,disgust,20
crying,sadness,groan,pain,20
crying,sadness,growl,danger,20
crying,sadness,handshake,cordiality,20
crying,sadness,kiss,love,20
crying,sadness,laugh,amusement,20
crying,sadness,laughter,amusement,20
crying,sadness,lie,dishonesty,20
crying,sadness,nod,agreement,20
crying,sadness,punch,hatred,20
crying,sadness,scream,terror,20
crying,sadness,sigh,exhaustion,20
crying,sadness,slap,anger,20
crying,sadness,snarl,anger,20
crying,sadness,tear,sadness,20
crying,sadness,tears,sadness,20
crying,sadness,wave,acknowledgment,20
crying,sadness,wink,friendliness,20
crying,sadness,yawn,boredom,20
discourse,relationship,frown,anger,20
discourse,relationship,glare,anger,20
discourse,relationship,grimace,disgust,20
discourse,relationship,groan,pain,20
discourse,relationship,growl,danger,20
discourse,relationship,handshake,cordiality,20
discourse,relationship,kiss,love,20
discourse,relationship,laugh,amusement,20
discourse,relationship,laughter,amusement,20
discourse,relationship,lie,dishonesty,20
discourse,relationship,nod,agreement,20
discourse,relationship,punch,hatred,20
discourse,relationship,scream,terror,20
discourse,relationship,sigh,exhaustion,20
discourse,relationship,slap,anger,20
discourse,relationship,snarl,anger,20
discourse,relationship,tear,sadness,20
discourse,relationship,tears,sadness,20
discourse,relationship,wave,acknowledgment,20
discourse,relationship,wink,friendliness,20
discourse,relationship,yawn,boredom,20
frown,anger,glare,anger,20
frown,anger,grimace,disgust,20
frown,anger,groan,pain,20
frown,anger,growl,danger,20
frown,anger,handshake,cordiality,20
frown,anger,kiss,love,20
frown,anger,laugh,amusement,20
frown,anger,laughter,amusement,20
frown,anger,lie,dishonesty,20
frown,anger,nod,agreement,20
frown,anger,punch,hatred,20
frown,anger,scream,terror,20
frown,anger,sigh,exhaustion,20
frown,anger,slap,anger,20
frown,anger,snarl,anger,20
frown,anger,tear,sadness,20
frown,anger,tears,sadness,20
