word,sentence,adolescence,puberty,32
word,sentence,adulthood,responsibility,32
word,sentence,bedtime,sleeping,32
word,sentence,birthday,celebration,32
word,sentence,celebration,fireworks,32
word,sentence,day,dream,32
word,sentence,development,gestation,32
word,sentence,dinner,eating,32
word,sentence,gestation,development,32
word,sentence,harvest,reaping,32
word,sentence,incubation,growth,32
word,sentence,infancy,teething,32
word,sentence,moon,full,32
word,sentence,morning,breakfast,32
word,sentence,pregnancy,development,32
word,sentence,sale,shopping,32
word,sentence,spring,blooming,32
word,sentence,summer,swim,32
word,sentence,vacation,travel,32
word,sentence,war,destruction,32
word,sentence,wedding,marriage,32
adolescence,puberty,adulthood,responsibility,32
adolescence,puberty,bedtime,sleeping,32
adolescence,puberty,birthday,celebration,32
adolescence,puberty,celebration,fireworks,32
adolescence,puberty,day,dream,32
adolescence,puberty,development,gestation,32
adolescence,puberty,dinner,eating,32
adolescence,puberty,gestation,development,32
adolescence,puberty,harvest,reaping,32
adolescence,puberty,incubation,growth,32
adolescence,puberty,infancy,teething,32
adolescence,puberty,moon,full,32
adolescence,puberty,morning,breakfast,32
adolescence,puberty,pregnancy,development,32
adolescence,puberty,sale,shopping,32
adolescence,puberty,spring,blooming,32
adolescence,puberty,summer,swim,32
adolescence,puberty,vacation,travel,32
adolescence,puberty,war,destruction,32
adolescence,puberty,wedding,marriage,32
adulthood,responsibility,bedtime,sleeping,32
adulthood,responsibility,birthday,celebration,32
adulthood,responsibility,celebration,fireworks,32
adulthood,responsibility,day,dream,32
adulthood,responsibility,development,gestation,32
adulthood,responsibility,dinner,eating,32
adulthood,responsibility,gestation,development,32
adulthood,responsibility,harvest,reaping,32
adulthood,responsibility,incubation,growth,32
adulthood,responsibility,infancy,teething,32
adulthood,responsibility,moon,full,32
adulthood,responsibility,morning,breakfast,32
adulthood,responsibility,pregnancy,development,32
adulthood,responsibility,sale,shopping,32
adulthood,responsibility,spring,blooming,32
adulthood,responsibility,summer,swim,32
adulthood,responsibility,vacation,travel,32
adulthood,responsibility,war,destruction,32
adulthood,responsibility,wedding,marriage,32
bedtime,sleeping,birthday,celebration,32
bedtime,sleeping,celebration,fireworks,32
bedtime,sleeping,day,dream,32
bedtime,sleeping,development,gestation,32
bedtime,sleeping,dinner,eating,32
bedtime,sleeping,gestation,development,32
bedtime,sleeping,harvest,reaping,32
bedtime,sleeping,incubation,growth,32
bedtime,sleeping,infancy,teething,32
bedtime,sleeping,moon,full,32
bedtime,sleeping,morning,breakfast,32
bedtime,sleeping,pregnancy,development,32
bedtime,sleeping,sale,shopping,32
bedtime,sleeping,spring,blooming,32
bedtime,sleeping,summer,swim,32
bedtime,sleeping,vacation,travel,32
bedtime,sleeping,war,destruction,32
bedtime,sleeping,wedding,marriage,32
birthday,celebration,celebration,fireworks,32
birthday,celebration,day,dream,32
birthday,celebration,development,gestation,32
birthday,celebration,dinner,eating,32
birthday,celebration,gestation,development,32
birthday,celebration,harvest,reaping,32
birthday,celebration,incubation,growth,32
birthday,celebration,infancy,teething,32
birthday,celebration,moon,full,32
birthday,celebration,morning,breakfast,32
birthday,celebration,pregnancy,development,32
birthday,celebration,sale,shopping,32
birthday,celebration,spring,blooming,32
birthday,celebration,summer,swim,32
birthday,celebration,vacation,travel,32
birthday,celebration,war,destruction,32
birthday,celebration,wedding,marriage,32
celebration,fireworks,day,dream,32
celebration,fireworks,development,gestation,32
celebration,fireworks,dinner,eating,32
celebration,fireworks,gestation,development,32
celebration,fireworks,harvest,reaping,32
celebration,fireworks,incubation,growth,32
celebration,fireworks,infancy,teething,32
celebration,fireworks,moon,full,32
celebration,fireworks,morning,breakfast,32
celebration,fireworks,pregnancy,development,32
celebration,fireworks,sale,shopping,32
celebration,fireworks,spring,blooming,32
celebration,fireworks,summer,swim,32
celebration,fireworks,vacation,travel,32
celebration,fireworks,war,destruction,32
celebration,fireworks,wedding,marriage,32
day,dream,development,gestation,32
day,dream,dinner,eating,32
day,dream,gestation,development,32
day,dream,harvest,reaping,32
day,dream,incubation,growth,32
day,dream,infancy,teething,32
day,dream,moon,full,32
day,dream,morning,breakfast,32
day,dream,pregnancy,development,32
day,dream,sale,shopping,32
day,dream,spring,blooming,32
day,dream,summer,swim,32
day,dream,vacation,travel,32
day,dream,war,destruction,32
day,dream,wedding,marriage,32
development,gestation,dinner,eating,32
development,gestation,gestation,development,32
development,gestation,harvest,reaping,32
development,gestation,incubation,growth,32
development,gestation,infancy,teething,32
development,gestation,moon,full,32
development,gestation,morning,breakfast,32
development,gestation,pregnancy,development,32
development,gestation,sale,shopping,32
development,gestation,spring,blooming,32
development,gestation,summer,swim,32
development,gestation,vacation,travel,32
development,gestation,war,destruction,32
development,gestation,wedding,marriage,32
dinner,eating,gestation,development,32
dinner,eating,harvest,reaping,32
dinner,eating,incubation,growth,32
dinner,eating,infancy,teething,32
dinner,eating,moon,full,32
dinner,eating,morning,breakfast,32
dinner,eating,pregnancy,development,32
dinner,eating,sale,shopping,32
dinner,eating,spring,blooming,32
dinner,eating,summer,swim,32
dinner,eating,vacation,travel,32
dinner,eating,war,destruction,32
dinner,eating,wedding,marriage,32
gestation,development,harvest,reaping,32
gestation,development,incubation,growth,32
gestation,development,infancy,teething,32
gestation,development,moon,full,32
gestation,development,morning,breakfast,32
gestation,development,pregnancy,development,32
gestation,development,sale,shopping,32
gestation,development,spring,blooming,32
gestation,development,summer,swim,32
gestation,development,vacation,travel,32
gestation,development,war,destruction,32
gestation,development,wedding,marriage,32
harvest,reaping,incubation,growth,32
harvest,reaping,infancy,teething,32
harvest,reaping,moon,full,32
harvest,reaping,morning,breakfast,32
harvest,reaping,pregnancy,development,32
harvest,reaping,sale,shopping,32
harvest,reaping,spring,blooming,32
harvest,reaping,summer,swim,32
harvest,reaping,vacation,travel,32
harvest,reaping,war,destruction,32
harvest,reaping,wedding,marriage,32
incubation,growth,infancy,teething,32
incubation,growth,moon,full,32
incubation,growth,morning,breakfast,32
incubation,growth,pregnancy,development,32
incubation,growth,sale,shopping,32
incubation,growth,spring,blooming,32
incubation,growth,summer,swim,32
incubation,growth,vacation,travel,32
incubation,growth,war,destruction,32
incubation,growth,wedding,marriage,32
infancy,teething,moon,full,32
infancy,teething,morning,breakfast,32
infancy,teething,pregnancy,development,32
infancy,teething,sale,shopping,32
infancy,teething,spring,blooming,32
infancy,teething,summer,swim,32
infancy,teething,vacation,travel,32
infancy,teething,war,destruction,32
infancy,teething,wedding,marriage,32
moon,full,morning,breakfast,32
moon,full,pregnancy,development,32
moon,full,sale,shopping,32
moon,full,spring,blooming,32
moon,full,summer,swim,32
moon,full,vacation,travel,32
moon,full,war,destruction,32
moon,full,wedding,marriage,32
morning,breakfast,pregnancy,development,32
morning,breakfast,sale,shopping,32
morning,breakfast,spring,blooming,32
morning,breakfast,summer,swim,32
morning,breakfast,vacation,travel,32
morning,breakfast,war,destruction,32
morning,breakfast,wedding,marriage,32
pregnancy,development,sale,shopping,32
pregnancy,development,spring,blooming,32
pregnancy,development,summer,swim,32
pregnancy,development,vacation,travel,32
pregnancy,development,war,destruction,32
pregnancy,development,wedding,marriage,32
sale,shopping,spring,blooming,32
sale,shopping,summer,swim,32
sale,shopping,vacation,travel,32
sale,shopping,war,destruction,32
sale,shopping,wedding,marriage,32
spring,blooming,summer,swim,32
spring,blooming,vacation,travel,32
spring,blooming,war,destruction,32
spring,blooming,wedding,marriage,32
summer,swim,vacation,travel,32
summer,swim,war,destruction,32
summer,swim,wedding,marriage,32
vacation,travel,war,destruction,32
vacation,travel,wedding,marriage,32
war,destruction,wedding,marriage,32
