athens,greece,baghdad,iraq,1
athens,bangkok,greece,thailand,1
athens,greece,beijing,china,1
athens,berlin,greece,germany,1
athens,greece,bern,switzerland,1
athens,cairo,greece,egypt,1
athens,greece,canberra,australia,1
athens,hanoi,greece,vietnam,1
athens,greece,havana,cuba,1
athens,helsinki,greece,finland,1
athens,greece,islamabad,pakistan,1
athens,kabul,greece,afghanistan,1
athens,greece,london,england,1
athens,madrid,greece,spain,1
athens,greece,moscow,russia,1
athens,oslo,greece,norway,1
athens,greece,ottawa,canada,1
athens,paris,greece,france,1
athens,greece,rome,italy,1
athens,stockholm,greece,sweden,1
athens,greece,tehran,iran,1
athens,tokyo,greece,japan,1
baghdad,iraq,bangkok,thailand,1
baghdad,beijing,iraq,china,1
baghdad,iraq,berlin,germany,1
baghdad,bern,iraq,switzerland,1
baghdad,iraq,cairo,egypt,1
baghdad,canberra,iraq,australia,1
baghdad,iraq,hanoi,vietnam,1
baghdad,havana,iraq,cuba,1
baghdad,iraq,helsinki,finland,1
baghdad,islamabad,iraq,pakistan,1
baghdad,iraq,kabul,afghanistan,1
baghdad,london,iraq,england,1
baghdad,iraq,madrid,spain,1
baghdad,moscow,iraq,russia,1
baghdad,iraq,oslo,norway,1
baghdad,ottawa,iraq,canada,1
baghdad,iraq,paris,france,1
baghdad,rome,iraq,italy,1
baghdad,iraq,stockholm,sweden,1
baghdad,tehran,iraq,iran,1
baghdad,iraq,tokyo,japan,1
bangkok,beijing,thailand,china,1
bangkok,thailand,berlin,germany,1
bangkok,bern,thailand,switzerland,1
bangkok,thailand,cairo,egypt,1
bangkok,canberra,thailand,australia,1
bangkok,thailand,hanoi,vietnam,1
bangkok,havana,thailand,cuba,1
bangkok,thailand,helsinki,finland,1
bangkok,islamabad,thailand,pakistan,1
bangkok,thailand,kabul,afghanistan,1
bangkok,london,thailand,england,1
bangkok,thailand,madrid,spain,1
bangkok,moscow,thailand,russia,1
bangkok,thailand,oslo,norway,1
bangkok,ottawa,thailand,canada,1
bangkok,thailand,paris,france,1
bangkok,rome,thailand,italy,1
bangkok,thailand,stockholm,sweden,1
bangkok,tehran,thailand,iran,1
bangkok,thailand,tokyo,japan,1
beijing,berlin,china,germany,1
beijing,china,bern,switzerland,1
beijing,cairo,china,egypt,1
beijing,china,canberra,australia,1
beijing,hanoi,china,vietnam,1
beijing,china,havana,cuba,1
beijing,helsinki,china,finland,1
beijing,china,islamabad,pakistan,1
beijing,kabul,china,afghanistan,1
beijing,china,london,england,1
beijing,madrid,china,spain,1
beijing,china,moscow,russia,1
beijing,oslo,china,norway,1
beijing,china,ottawa,canada,1
beijing,paris,china,france,1
beijing,china,rome,italy,1
beijing,stockholm,china,sweden,1
beijing,china,tehran,iran,1
beijing,tokyo,china,japan,1
berlin,germany,bern,switzerland,1
berlin,cairo,germany,egypt,1
berlin,germany,canberra,australia,1
berlin,hanoi,germany,vietnam,1
berlin,germany,havana,cuba,1
berlin,helsinki,germany,finland,1
berlin,germany,islamabad,pakistan,1
berlin,kabul,germany,afghanistan,1
berlin,germany,london,england,1
berlin,madrid,germany,spain,1
berlin,germany,moscow,russia,1
berlin,oslo,germany,norway,1
berlin,germany,ottawa,canada,1
berlin,paris,germany,france,1
berlin,germany,rome,italy,1
berlin,stockholm,germany,sweden,1
berlin,germany,tehran,iran,1
berlin,tokyo,germany,japan,1
bern,switzerland,cairo,egypt,1
bern,canberra,switzerland,australia,1
bern,switzerland,hanoi,vietnam,1
bern,havana,switzerland,cuba,1
bern,switzerland,helsinki,finland,1
bern,islamabad,switzerland,pakistan,1
bern,switzerland,kabul,afghanistan,1
bern,london,switzerland,england,1
bern,switzerland,madrid,spain,1
bern,moscow,switzerland,russia,1
bern,switzerland,oslo,norway,1
bern,ottawa,switzerland,canada,1
bern,switzerland,paris,france,1
bern,rome,switzerland,italy,1
bern,switzerland,stockholm,sweden,1
bern,tehran,switzerland,iran,1
bern,switzerland,tokyo,japan,1
cairo,canberra,egypt,australia,1
cairo,egypt,hanoi,vietnam,1
cairo,havana,egypt,cuba,1
cairo,egypt,helsinki,finland,1
cairo,islamabad,egypt,pakistan,1
cairo,egypt,kabul,afghanistan,1
cairo,london,egypt,england,1
cairo,egypt,madrid,spain,1
cairo,moscow,egypt,russia,1
cairo,egypt,oslo,norway,1
cairo,ottawa,egypt,canada,1
cairo,egypt,paris,france,1
cairo,rome,egypt,italy,1
cairo,egypt,stockholm,sweden,1
cairo,tehran,egypt,iran,1
cairo,egypt,tokyo,japan,1
canberra,hanoi,australia,vietnam,1
canberra,australia,havana,cuba,1
canberra,helsinki,australia,finland,1
canberra,australia,islamabad,pakistan,1
canberra,kabul,australia,afghanistan,1
canberra,australia,london,england,1
canberra,madrid,australia,spain,1
canberra,australia,moscow,russia,1
canberra,oslo,australia,norway,1
canberra,australia,ottawa,canada,1
canberra,paris,australia,france,1
canberra,australia,rome,italy,1
canberra,stockholm,australia,sweden,1
canberra,australia,tehran,iran,1
canberra,tokyo,australia,japan,1
hanoi,vietnam,havana,cuba,1
hanoi,helsinki,vietnam,finland,1
hanoi,vietnam,islamabad,pakistan,1
hanoi,kabul,vietnam,afghanistan,1
hanoi,vietnam,london,england,1
hanoi,madrid,vietnam,spain,1
hanoi,vietnam,moscow,russia,1
hanoi,oslo,vietnam,norway,1
hanoi,vietnam,ottawa,canada,1
hanoi,paris,vietnam,france,1
hanoi,vietnam,rome,italy,1
hanoi,stockholm,vietnam,sweden,1
hanoi,vietnam,tehran,iran,1
hanoi,tokyo,vietnam,japan,1
havana,cuba,helsinki,finland,1
havana,islamabad,cuba,pakistan,1
havana,cuba,kabul,afghanistan,1
havana,london,cuba,england,1
havana,cuba,madrid,spain,1
havana,moscow,cuba,russia,1
havana,cuba,oslo,norway,1
havana,ottawa,cuba,canada,1
havana,cuba,paris,france,1
havana,rome,cuba,italy,1
havana,cuba,stockholm,sweden,1
havana,tehran,cuba,iran,1
havana,cuba,tokyo,japan,1
helsinki,islamabad,finland,pakistan,1
helsinki,finland,kabul,afghanistan,1
helsinki,london,finland,england,1
helsinki,finland,madrid,spain,1
helsinki,moscow,finland,russia,1
helsinki,finland,oslo,norway,1
helsinki,ottawa,finland,canada,1
helsinki,finland,paris,france,1
helsinki,rome,finland,italy,1
helsinki,finland,stockholm,sweden,1
helsinki,tehran,finland,iran,1
helsinki,finland,tokyo,japan,1
islamabad,kabul,pakistan,afghanistan,1
islamabad,pakistan,london,england,1
islamabad,madrid,pakistan,spain,1
islamabad,pakistan,moscow,russia,1
islamabad,oslo,pakistan,norway,1
islamabad,pakistan,ottawa,canada,1
islamabad,paris,pakistan,france,1
islamabad,pakistan,rome,italy,1
islamabad,stockholm,pakistan,sweden,1
islamabad,pakistan,tehran,iran,1
islamabad,tokyo,pakistan,japan,1
kabul,afghanistan,london,england,1
kabul,madrid,afghanistan,spain,1
kabul,afghanistan,moscow,russia,1
kabul,oslo,afghanistan,norway,1
kabul,afghanistan,ottawa,canada,1
kabul,paris,afghanistan,france,1
kabul,afghanistan,rome,italy,1
kabul,stockholm,afghanistan,sweden,1
kabul,afghanistan,tehran,iran,1
kabul,tokyo,afghanistan,japan,1
london,england,madrid,spain,1
london,moscow,england,russia,1
london,england,oslo,norway,1
london,ottawa,england,canada,1
london,england,paris,france,1
london,rome,england,italy,1
london,england,stockholm,sweden,1
london,tehran,england,iran,1
london,england,tokyo,japan,1
madrid,moscow,spain,russia,1
madrid,spain,oslo,norway,1
madrid,ottawa,spain,canada,1
madrid,spain,paris,france,1
madrid,rome,spain,italy,1
madrid,spain,stockholm,sweden,1
madrid,tehran,spain,iran,1
madrid,spain,tokyo,japan,1
moscow,oslo,russia,norway,1
moscow,russia,ottawa,canada,1
moscow,paris,russia,france,1
moscow,russia,rome,italy,1
moscow,stockholm,russia,sweden,1
moscow,russia,tehran,iran,1
moscow,tokyo,russia,japan,1
oslo,norway,ottawa,canada,1
oslo,paris,norway,france,1
oslo,norway,rome,italy,1
oslo,stockholm,norway,sweden,1
oslo,norway,tehran,iran,1
oslo,tokyo,norway,japan,1
ottawa,canada,paris,france,1
ottawa,rome,canada,italy,1
ottawa,canada,stockholm,sweden,1
ottawa,tehran,canada,iran,1
ottawa,canada,tokyo,japan,1
paris,rome,france,italy,1
paris,france,stockholm,sweden,1
paris,tehran,france,iran,1
paris,france,tokyo,japan,1
rome,stockholm,italy,sweden,1
rome,italy,tehran,iran,1
rome,tokyo,italy,japan,1
stockholm,sweden,tehran,iran,1
stockholm,tokyo,sweden,japan,1
tehran,iran,tokyo,japan,1
