albania,albanian,argentina,argentinean,11
albania,australia,albanian,australian,11
albania,albanian,austria,austrian,11
albania,belarus,albanian,belorussian,11
albania,albanian,brazil,brazilian,11
albania,bulgaria,albanian,bulgarian,11
albania,albanian,cambodia,cambodian,11
albania,chile,albanian,chilean,11
albania,albanian,china,chinese,11
albania,colombia,albanian,colombian,11
albania,albanian,croatia,croatian,11
albania,denmark,albanian,danish,11
albania,albanian,egypt,egyptian,11
albania,england,albanian,english,11
albania,albanian,france,french,11
albania,germany,albanian,german,11
albania,albanian,greece,greek,11
albania,iceland,albanian,icelandic,11
albania,albanian,india,indian,11
albania,ireland,albanian,irish,11
albania,albanian,israel,israeli,11
albania,italy,albanian,italian,11
albania,albanian,japan,japanese,11
albania,korea,albanian,korean,11
albania,albanian,macedonia,macedonian,11
albania,malta,albanian,maltese,11
albania,albanian,mexico,mexican,11
albania,moldova,albanian,moldovan,11
albania,albanian,netherlands,dutch,11
albania,norway,albanian,norwegian,11
albania,albanian,peru,peruvian,11
albania,poland,albanian,polish,11
albania,albanian,portugal,portuguese,11
albania,russia,albanian,russian,11
albania,albanian,slovakia,slovakian,11
albania,spain,albanian,spanish,11
albania,albanian,sweden,swedish,11
albania,switzerland,albanian,swiss,11
albania,albanian,thailand,thai,11
argentina,australia,argentinean,australian,11
argentina,argentinean,austria,austrian,11
argentina,belarus,argentinean,belorussian,11
argentina,argentinean,brazil,brazilian,11
argentina,bulgaria,argentinean,bulgarian,11
argentina,argentinean,cambodia,cambodian,11
argentina,chile,argentinean,chilean,11
argentina,argentinean,china,chinese,11
argentina,colombia,argentinean,colombian,11
argentina,argentinean,croatia,croatian,11
argentina,denmark,argentinean,danish,11
argentina,argentinean,egypt,egyptian,11
argentina,england,argentinean,english,11
argentina,argentinean,france,french,11
argentina,germany,argentinean,german,11
argentina,argentinean,greece,greek,11
argentina,iceland,argentinean,icelandic,11
argentina,argentinean,india,indian,11
argentina,ireland,argentinean,irish,11
argentina,argentinean,israel,israeli,11
argentina,italy,argentinean,italian,11
argentina,argentinean,japan,japanese,11
argentina,korea,argentinean,korean,11
argentina,argentinean,macedonia,macedonian,11
argentina,malta,argentinean,maltese,11
argentina,argentinean,mexico,mexican,11
argentina,moldova,argentinean,moldovan,11
argentina,argentinean,netherlands,dutch,11
argentina,norway,argentinean,norwegian,11
argentina,argentinean,peru,peruvian,11
argentina,poland,argentinean,polish,11
argentina,argentinean,portugal,portuguese,11
argentina,russia,argentinean,russian,11
argentina,argentinean,slovakia,slovakian,11
argentina,spain,argentinean,spanish,11
argentina,argentinean,sweden,swedish,11
argentina,switzerland,argentinean,swiss,11
argentina,argentinean,thailand,thai,11
argentina,ukraine,argentinean,ukrainian,11
australia,australian,austria,austrian,11
australia,belarus,australian,belorussian,11
australia,australian,brazil,brazilian,11
australia,bulgaria,australian,bulgarian,11
australia,australian,cambodia,cambodian,11
australia,chile,australian,chilean,11
australia,australian,china,chinese,11
australia,colombia,australian,colombian,11
australia,australian,croatia,croatian,11
australia,denmark,australian,danish,11
australia,australian,egypt,egyptian,11
australia,england,australian,english,11
australia,australian,france,french,11
australia,germany,australian,german,11
australia,australian,greece,greek,11
australia,iceland,australian,icelandic,11
australia,australian,india,indian,11
australia,ireland,australian,irish,11
australia,australian,israel,israeli,11
australia,italy,australian,italian,11
australia,australian,japan,japanese,11
australia,korea,australian,korean,11
australia,australian,macedonia,macedonian,11
australia,malta,australian,maltese,11
australia,australian,mexico,mexican,11
australia,moldova,australian,moldovan,11
australia,australian,netherlands,dutch,11
australia,norway,australian,norwegian,11
australia,australian,peru,peruvian,11
australia,poland,australian,polish,11
australia,australian,portugal,portuguese,11
australia,russia,australian,russian,11
australia,australian,slovakia,slovakian,11
australia,spain,australian,spanish,11
australia,australian,sweden,swedish,11
