dancing,danced,decreasing,decreased,12
dancing,describing,danced,described,12
dancing,danced,enhancing,enhanced,12
dancing,falling,danced,fell,12
dancing,danced,feeding,fed,12
dancing,flying,danced,flew,12
dancing,danced,generating,generated,12
dancing,going,danced,went,12
dancing,danced,hiding,hid,12
dancing,hitting,danced,hit,12
dancing,danced,implementing,implemented,12
dancing,increasing,danced,increased,12
dancing,danced,jumping,jumped,12
dancing,knowing,danced,knew,12
dancing,danced,listening,listened,12
dancing,looking,danced,looked,12
dancing,danced,moving,moved,12
dancing,paying,danced,paid,12
dancing,danced,playing,played,12
dancing,predicting,danced,predicted,12
dancing,danced,reading,read,12
dancing,running,danced,ran,12
dancing,danced,saying,said,12
dancing,screaming,danced,screamed,12
dancing,danced,seeing,saw,12
dancing,selling,danced,sold,12
dancing,danced,shrinking,shrank,12
dancing,singing,danced,sang,12
dancing,danced,sitting,sat,12
dancing,sleeping,danced,slept,12
dancing,danced,slowing,slowed,12
dancing,spending,danced,spent,12
dancing,danced,striking,struck,12
dancing,swimming,danced,swam,12
dancing,danced,taking,took,12
dancing,thinking,danced,thought,12
dancing,danced,vanishing,vanished,12
dancing,walking,danced,walked,12
dancing,danced,writing,wrote,12
decreasing,describing,decreased,described,12
decreasing,decreased,enhancing,enhanced,12
decreasing,falling,decreased,fell,12
decreasing,decreased,feeding,fed,12
decreasing,flying,decreased,flew,12
decreasing,decreased,generating,generated,12
decreasing,going,decreased,went,12
decreasing,decreased,hiding,hid,12
decreasing,hitting,decreased,hit,12
decreasing,decreased,implementing,implemented,12
decreasing,increasing,decreased,increased,12
decreasing,decreased,jumping,jumped,12
decreasing,knowing,decreased,knew,12
decreasing,decreased,listening,listened,12
decreasing,looking,decreased,looked,12
decreasing,decreased,moving,moved,12
decreasing,paying,decreased,paid,12
decreasing,decreased,playing,played,12
decreasing,predicting,decreased,predicted,12
decreasing,decreased,reading,read,12
decreasing,running,decreased,ran,12
decreasing,decreased,saying,said,12
decreasing,screaming,decreased,screamed,12
decreasing,decreased,seeing,saw,12
decreasing,selling,decreased,sold,12
decreasing,decreased,shrinking,shrank,12
decreasing,singing,decreased,sang,12
decreasing,decreased,sitting,sat,12
decreasing,sleeping,decreased,slept,12
decreasing,decreased,slowing,slowed,12
decreasing,spending,decreased,spent,12
decreasing,decreased,striking,struck,12
decreasing,swimming,decreased,swam,12
decreasing,decreased,taking,took,12
decreasing,thinking,decreased,thought,12
decreasing,decreased,vanishing,vanished,12
decreasing,walking,decreased,walked,12
decreasing,decreased,writing,wrote,12
describing,enhancing,described,enhanced,12
describing,described,falling,fell,12
describing,feeding,described,fed,12
describing,described,flying,flew,12
describing,generating,described,generated,12
describing,described,going,went,12
