banana,bananas,bird,birds,13
banana,bottle,bananas,bottles,13
banana,bananas,building,buildings,13
banana,car,bananas,cars,13
banana,bananas,cat,cats,13
banana,child,bananas,children,13
banana,bananas,cloud,clouds,13
banana,color,bananas,colors,13
banana,bananas,computer,computers,13
banana,cow,bananas,cows,13
banana,bananas,dog,dogs,13
banana,dollar,bananas,dollars,13
banana,bananas,donkey,donkeys,13
banana,dream,bananas,dreams,13
banana,bananas,eagle,eagles,13
banana,elephant,bananas,elephants,13
banana,bananas,eye,eyes,13
banana,finger,bananas,fingers,13
banana,bananas,goat,goats,13
banana,hand,bananas,hands,13
banana,bananas,horse,horses,13
banana,lion,bananas,lions,13
banana,bananas,machine,machines,13
banana,mango,bananas,mangoes,13
banana,bananas,man,men,13
banana,melon,bananas,melons,13
banana,bananas,monkey,monkeys,13
banana,mouse,bananas,mice,13
banana,bananas,onion,onions,13
banana,pear,bananas,pears,13
banana,bananas,pig,pigs,13
banana,pineapple,bananas,pineapples,13
banana,bananas,rat,rats,13
banana,road,bananas,roads,13
banana,bananas,snake,snakes,13
banana,woman,bananas,women,13
bird,birds,bottle,bottles,13
bird,building,birds,buildings,13
bird,birds,car,cars,13
bird,cat,birds,cats,13
bird,birds,child,children,13
bird,cloud,birds,clouds,13
bird,birds,color,colors,13
bird,computer,birds,computers,13
bird,birds,cow,cows,13
bird,dog,birds,dogs,13
bird,birds,dollar,dollars,13
bird,donkey,birds,donkeys,13
bird,birds,dream,dreams,13
bird,eagle,birds,eagles,13
bird,birds,elephant,elephants,13
bird,eye,birds,eyes,13
bird,birds,finger,fingers,13
bird,goat,birds,goats,13
bird,birds,hand,hands,13
bird,horse,birds,horses,13
bird,birds,lion,lions,13
bird,machine,birds,machines,13
bird,birds,mango,mangoes,13
bird,man,birds,men,13
bird,birds,melon,melons,13
bird,monkey,birds,monkeys,13
bird,birds,mouse,mice,13
bird,onion,birds,onions,13
bird,birds,pear,pears,13
bird,pig,birds,pigs,13
bird,birds,pineapple,pineapples,13
bird,rat,birds,rats,13
bird,birds,road,roads,13
bird,snake,birds,snakes,13
bird,birds,woman,women,13
bottle,building,bottles,buildings,13
bottle,bottles,car,cars,13
bottle,cat,bottles,cats,13
bottle,bottles,child,children,13
bottle,cloud,bottles,clouds,13
bottle,bottles,color,colors,13
bottle,computer,bottles,computers,13
bottle,bottles,cow,cows,13
bottle,dog,bottles,dogs,13
bottle,bottles,dollar,dollars,13
bottle,donkey,bottles,donkeys,13
bottle,bottles,dream,dreams,13
bottle,eagle,bottles,eagles,13
bottle,bottles,elephant,elephants,13
bottle,eye,bottles,eyes,13
bottle,bottles,finger,fingers,13
bottle,goat,bottles,goats,13
bottle,bottles,hand,hands,13
bottle,horse,bottles,horses,13
bottle,bottles,lion,lions,13
bottle,machine,bottles,machines,13
bottle,bottles,mango,mangoes,13
bottle,man,bottles,men,13
bottle,bottles,melon,melons,13
bottle,monkey,bottles,monkeys,13
bottle,bottles,mouse,mice,13
bottle,onion,bottles,onions,13
bottle,bottles,pear,pears,13
bottle,pig,bottles,pigs,13
bottle,bottles,pineapple,pineapples,13
bottle,rat,bottles,rats,13
bottle,bottles,road,roads,13
bottle,snake,bottles,snakes,13
bottle,bottles,woman,women,13
building,car,buildings,cars,13
building,buildings,cat,cats,13
building,child,buildings,children,13
building,buildings,cloud,clouds,13
building,color,buildings,colors,13
building,buildings,computer,computers,13
building,cow,buildings,cows,13
building,buildings,dog,dogs,13
building,dollar,buildings,dollars,13
building,buildings,donkey,donkeys,13
building,dream,buildings,dreams,13
building,buildings,eagle,eagles,13
building,elephant,buildings,elephants,13
building,buildings,eye,eyes,13
building,finger,buildings,fingers,13
building,buildings,goat,goats,13
building,hand,buildings,hands,13
building,buildings,horse,horses,13
building,lion,buildings,lions,13
building,buildings,machine,machines,13
building,mango,buildings,mangoes,13
building,buildings,man,men,13
building,melon,buildings,melons,13
building,buildings,monkey,monkeys,13
building,mouse,buildings,mice,13
building,buildings,onion,onions,13
building,pear,buildings,pears,13
building,buildings,pig,pigs,13
building,pineapple,buildings,pineapples,13
building,buildings,rat,rats,13
building,road,buildings,roads,13
building,buildings,snake,snakes,13
building,woman,buildings,women,13
car,cars,cat,cats,13
car,child,cars,children,13
car,cars,cloud,clouds,13
car,color,cars,colors,13
car,cars,computer,computers,13
car,cow,cars,cows,13
car,cars,dog,dogs,13
