decrease,decreases,describe,describes,14
decrease,eat,decreases,eats,14
decrease,decreases,enhance,enhances,14
decrease,estimate,decreases,estimates,14
decrease,decreases,find,finds,14
decrease,generate,decreases,generates,14
decrease,decreases,go,goes,14
decrease,implement,decreases,implements,14
decrease,decreases,increase,increases,14
decrease,listen,decreases,listens,14
decrease,decreases,play,plays,14
decrease,predict,decreases,predicts,14
decrease,decreases,provide,provides,14
decrease,say,decreases,says,14
decrease,decreases,scream,screams,14
decrease,search,decreases,searches,14
decrease,decreases,see,sees,14
decrease,shuffle,decreases,shuffles,14
decrease,decreases,sing,sings,14
decrease,sit,decreases,sits,14
decrease,decreases,slow,slows,14
decrease,speak,decreases,speaks,14
decrease,decreases,swim,swims,14
decrease,talk,decreases,talks,14
decrease,decreases,think,thinks,14
decrease,vanish,decreases,vanishes,14
decrease,decreases,walk,walks,14
decrease,work,decreases,works,14
decrease,decreases,write,writes,14
describe,eat,describes,eats,14
describe,describes,enhance,enhances,14
describe,estimate,describes,estimates,14
describe,describes,find,finds,14
describe,generate,describes,generates,14
describe,describes,go,goes,14
describe,implement,describes,implements,14
describe,describes,increase,increases,14
describe,listen,describes,listens,14
describe,describes,play,plays,14
describe,predict,describes,predicts,14
describe,describes,provide,provides,14
describe,say,describes,says,14
describe,describes,scream,screams,14
describe,search,describes,searches,14
describe,describes,see,sees,14
describe,shuffle,describes,shuffles,14
describe,describes,sing,sings,14
describe,sit,describes,sits,14
describe,describes,slow,slows,14
describe,speak,describes,speaks,14
describe,describes,swim,swims,14
describe,talk,describes,talks,14
describe,describes,think,thinks,14
describe,vanish,describes,vanishes,14
describe,describes,walk,walks,14
describe,work,describes,works,14
describe,describes,write,writes,14
eat,enhance,eats,enhances,14
eat,eats,estimate,estimates,14
eat,find,eats,finds,14
eat,eats,generate,generates,14
eat,go,eats,goes,14
eat,eats,implement,implements,14
eat,increase,eats,increases,14
eat,eats,listen,listens,14
eat,play,eats,plays,14
eat,eats,predict,predicts,14
eat,provide,eats,provides,14
eat,eats,say,says,14
eat,scream,eats,screams,14
eat,eats,search,searches,14
eat,see,eats,sees,14
eat,eats,shuffle,shuffles,14
eat,sing,eats,sings,14
eat,eats,sit,sits,14
