abuja,nigeria,accra,ghana,2
abuja,algiers,nigeria,algeria,2
abuja,nigeria,amman,jordan,2
abuja,ankara,nigeria,turkey,2
abuja,nigeria,antananarivo,madagascar,2
abuja,apia,nigeria,samoa,2
abuja,nigeria,ashgabat,turkmenistan,2
abuja,asmara,nigeria,eritrea,2
abuja,nigeria,astana,kazakhstan,2
abuja,athens,nigeria,greece,2
abuja,nigeria,baghdad,iraq,2
abuja,baku,nigeria,azerbaijan,2
abuja,nigeria,bamako,mali,2
abuja,bangkok,nigeria,thailand,2
abuja,nigeria,banjul,gambia,2
abuja,beijing,nigeria,china,2
abuja,nigeria,beirut,lebanon,2
abuja,belgrade,nigeria,serbia,2
abuja,nigeria,belmopan,belize,2
abuja,berlin,nigeria,germany,2
abuja,nigeria,bern,switzerland,2
abuja,bishkek,nigeria,kyrgyzstan,2
abuja,nigeria,bratislava,slovakia,2
abuja,brussels,nigeria,belgium,2
abuja,nigeria,bucharest,romania,2
abuja,budapest,nigeria,hungary,2
abuja,nigeria,bujumbura,burundi,2
abuja,cairo,nigeria,egypt,2
abuja,nigeria,canberra,australia,2
abuja,caracas,nigeria,venezuela,2
abuja,nigeria,chisinau,moldova,2
abuja,conakry,nigeria,guinea,2
abuja,nigeria,copenhagen,denmark,2
abuja,dakar,nigeria,senegal,2
abuja,nigeria,damascus,syria,2
abuja,dhaka,nigeria,bangladesh,2
abuja,nigeria,doha,qatar,2
abuja,dublin,nigeria,ireland,2
abuja,nigeria,dushanbe,tajikistan,2
accra,algiers,ghana,algeria,2
accra,ghana,amman,jordan,2
accra,ankara,ghana,turkey,2
accra,ghana,antananarivo,madagascar,2
accra,apia,ghana,samoa,2
accra,ghana,ashgabat,turkmenistan,2
accra,asmara,ghana,eritrea,2
accra,ghana,astana,kazakhstan,2
accra,athens,ghana,greece,2
accra,ghana,baghdad,iraq,2
accra,baku,ghana,azerbaijan,2
accra,ghana,bamako,mali,2
accra,bangkok,ghana,thailand,2
accra,ghana,banjul,gambia,2
accra,beijing,ghana,china,2
accra,ghana,beirut,lebanon,2
accra,belgrade,ghana,serbia,2
accra,ghana,belmopan,belize,2
accra,berlin,ghana,germany,2
accra,ghana,bern,switzerland,2
accra,bishkek,ghana,kyrgyzstan,2
accra,ghana,bratislava,slovakia,2
accra,brussels,ghana,belgium,2
accra,ghana,bucharest,romania,2
accra,budapest,ghana,hungary,2
accra,ghana,bujumbura,burundi,2
accra,cairo,ghana,egypt,2
accra,ghana,canberra,australia,2
accra,caracas,ghana,venezuela,2
accra,ghana,chisinau,moldova,2
accra,conakry,ghana,guinea,2
accra,ghana,copenhagen,denmark,2
accra,dakar,ghana,senegal,2
accra,ghana,damascus,syria,2
accra,dhaka,ghana,bangladesh,2
accra,ghana,doha,qatar,2
accra,dublin,ghana,ireland,2
accra,ghana,dushanbe,tajikistan,2
accra,funafuti,ghana,tuvalu,2
algiers,algeria,amman,jordan,2
algiers,ankara,algeria,turkey,2
algiers,algeria,antananarivo,madagascar,2
algiers,apia,algeria,samoa,2
algiers,algeria,ashgabat,turkmenistan,2
algiers,asmara,algeria,eritrea,2
algiers,algeria,astana,kazakhstan,2
algiers,athens,algeria,greece,2
algiers,algeria,baghdad,iraq,2
algiers,baku,algeria,azerbaijan,2
algiers,algeria,bamako,mali,2
algiers,bangkok,algeria,thailand,2
algiers,algeria,banjul,gambia,2
algiers,beijing,algeria,china,2
algiers,algeria,beirut,lebanon,2
algiers,belgrade,algeria,serbia,2
algiers,algeria,belmopan,belize,2
algiers,berlin,algeria,germany,2
algiers,algeria,bern,switzerland,2
algiers,bishkek,algeria,kyrgyzstan,2
algiers,algeria,bratislava,slovakia,2
algiers,brussels,algeria,belgium,2
algiers,algeria,bucharest,romania,2
algiers,budapest,algeria,hungary,2
algiers,algeria,bujumbura,burundi,2
algiers,cairo,algeria,egypt,2
algiers,algeria,canberra,australia,2
algiers,caracas,algeria,venezuela,2
algiers,algeria,chisinau,moldova,2
algiers,conakry,algeria,guinea,2
algiers,algeria,copenhagen,denmark,2
algiers,dakar,algeria,senegal,2
algiers,algeria,damascus,syria,2
algiers,dhaka,algeria,bangladesh,2
algiers,algeria,doha,qatar,2
algiers,dublin,algeria,ireland,2
algiers,algeria,dushanbe,tajikistan,2
algiers,funafuti,algeria,tuvalu,2
algiers,algeria,gaborone,botswana,2
amman,ankara,jordan,turkey,2
amman,jordan,antananarivo,madagascar,2
amman,apia,jordan,samoa,2
amman,jordan,ashgabat,turkmenistan,2
amman,asmara,jordan,eritrea,2
amman,jordan,astana,kazakhstan,2
amman,athens,jordan,greece,2
amman,jordan,baghdad,iraq,2
amman,baku,jordan,azerbaijan,2
amman,jordan,bamako,mali,2
amman,bangkok,jordan,thailand,2
amman,jordan,banjul,gambia,2
amman,beijing,jordan,china,2
amman,jordan,beirut,lebanon,2
amman,belgrade,jordan,serbia,2
amman,jordan,belmopan,belize,2
amman,berlin,jordan,germany,2
amman,jordan,bern,switzerland,2
amman,bishkek,jordan,kyrgyzstan,2
amman,jordan,bratislava,slovakia,2
amman,brussels,jordan,belgium,2
amman,jordan,bucharest,romania,2
amman,budapest,jordan,hungary,2
amman,jordan,bujumbura,burundi,2
amman,cairo,jordan,egypt,2
amman,jordan,canberra,australia,2
amman,caracas,jordan,venezuela,2
amman,jordan,chisinau,moldova,2
amman,conakry,jordan,guinea,2
amman,jordan,copenhagen,denmark,2
amman,dakar,jordan,senegal,2
amman,jordan,damascus,syria,2
amman,dhaka,jordan,bangladesh,2
amman,jordan,doha,qatar,2
amman,dublin,jordan,ireland,2
amman,jordan,dushanbe,tajikistan,2
amman,funafuti,jordan,tuvalu,2
amman,jordan,gaborone,botswana,2
amman,georgetown,jordan,guyana,2
ankara,turkey,antananarivo,madagascar,2
ankara,apia,turkey,samoa,2
ankara,turkey,ashgabat,turkmenistan,2
