algeria,dinar,angola,kwanza,3
algeria,argentina,dinar,peso,3
algeria,dinar,armenia,dram,3
algeria,brazil,dinar,real,3
algeria,dinar,bulgaria,lev,3
algeria,cambodia,dinar,riel,3
algeria,dinar,canada,dollar,3
algeria,croatia,dinar,kuna,3
algeria,dinar,denmark,krone,3
algeria,europe,dinar,euro,3
algeria,dinar,hungary,forint,3
algeria,india,dinar,rupee,3
algeria,dinar,iran,rial,3
algeria,japan,dinar,yen,3
algeria,dinar,korea,won,3
algeria,latvia,dinar,lats,3
algeria,dinar,lithuania,litas,3
algeria,macedonia,dinar,denar,3
algeria,dinar,malaysia,ringgit,3
algeria,mexico,dinar,peso,3
algeria,dinar,nigeria,naira,3
algeria,poland,dinar,zloty,3
algeria,dinar,romania,leu,3
algeria,russia,dinar,ruble,3
algeria,dinar,sweden,krona,3
algeria,thailand,dinar,baht,3
algeria,dinar,ukraine,hryvnia,3
algeria,usa,dinar,dollar,3
algeria,dinar,vietnam,dong,3
angola,argentina,kwanza,peso,3
angola,kwanza,armenia,dram,3
angola,brazil,kwanza,real,3
angola,kwanza,bulgaria,lev,3
angola,cambodia,kwanza,riel,3
angola,kwanza,canada,dollar,3
angola,croatia,kwanza,kuna,3
angola,kwanza,denmark,krone,3
angola,europe,kwanza,euro,3
angola,kwanza,hungary,forint,3
angola,india,kwanza,rupee,3
angola,kwanza,iran,rial,3
angola,japan,kwanza,yen,3
angola,kwanza,korea,won,3
angola,latvia,kwanza,lats,3
angola,kwanza,lithuania,litas,3
angola,macedonia,kwanza,denar,3
angola,kwanza,malaysia,ringgit,3
angola,mexico,kwanza,peso,3
angola,kwanza,nigeria,naira,3
angola,poland,kwanza,zloty,3
angola,kwanza,romania,leu,3
angola,russia,kwanza,ruble,3
angola,kwanza,sweden,krona,3
angola,thailand,kwanza,baht,3
angola,kwanza,ukraine,hryvnia,3
angola,usa,kwanza,dollar,3
angola,kwanza,vietnam,dong,3
argentina,armenia,peso,dram,3
argentina,peso,brazil,real,3
argentina,bulgaria,peso,lev,3
argentina,peso,cambodia,riel,3
argentina,canada,peso,dollar,3
argentina,peso,croatia,kuna,3
argentina,denmark,peso,krone,3
argentina,peso,europe,euro,3
argentina,hungary,peso,forint,3
argentina,peso,india,rupee,3
argentina,iran,peso,rial,3
argentina,peso,japan,yen,3
argentina,korea,peso,won,3
argentina,peso,latvia,lats,3
argentina,lithuania,peso,litas,3
argentina,peso,macedonia,denar,3
argentina,malaysia,peso,ringgit,3
argentina,peso,nigeria,naira,3
argentina,poland,peso,zloty,3
argentina,peso,romania,leu,3
argentina,russia,peso,ruble,3
argentina,peso,sweden,krona,3
argentina,thailand,peso,baht,3
argentina,peso,ukraine,hryvnia,3
argentina,usa,peso,dollar,3
argentina,peso,vietnam,dong,3
armenia,brazil,dram,real,3
armenia,dram,bulgaria,lev,3
armenia,cambodia,dram,riel,3
armenia,dram,canada,dollar,3
armenia,croatia,dram,kuna,3
armenia,dram,denmark,krone,3
armenia,europe,dram,euro,3
armenia,dram,hungary,forint,3
armenia,india,dram,rupee,3
armenia,dram,iran,rial,3
armenia,japan,dram,yen,3
armenia,dram,korea,won,3
armenia,latvia,dram,lats,3
armenia,dram,lithuania,litas,3
armenia,macedonia,dram,denar,3
armenia,dram,malaysia,ringgit,3
armenia,mexico,dram,peso,3
armenia,dram,nigeria,naira,3
armenia,poland,dram,zloty,3
armenia,dram,romania,leu,3
armenia,russia,dram,ruble,3
armenia,dram,sweden,krona,3
armenia,thailand,dram,baht,3
armenia,dram,ukraine,hryvnia,3
armenia,usa,dram,dollar,3
armenia,dram,vietnam,dong,3
brazil,bulgaria,real,lev,3
brazil,real,cambodia,riel,3
brazil,canada,real,dollar,3
brazil,real,croatia,kuna,3
brazil,denmark,real,krone,3
brazil,real,europe,euro,3
brazil,hungary,real,forint,3
brazil,real,india,rupee,3
brazil,iran,real,rial,3
brazil,real,japan,yen,3
brazil,korea,real,won,3
brazil,real,latvia,lats,3
brazil,lithuania,real,litas,3
brazil,real,macedonia,denar,3
brazil,malaysia,real,ringgit,3
brazil,real,mexico,peso,3
brazil,nigeria,real,naira,3
brazil,real,poland,zloty,3
brazil,romania,real,leu,3
brazil,real,russia,ruble,3
brazil,sweden,real,krona,3
brazil,real,thailand,baht,3
brazil,ukraine,real,hryvnia,3
brazil,real,usa,dollar,3
brazil,vietnam,real,dong,3
bulgaria,lev,cambodia,riel,3
bulgaria,canada,lev,dollar,3
bulgaria,lev,croatia,kuna,3
bulgaria,denmark,lev,krone,3
bulgaria,lev,europe,euro,3
bulgaria,hungary,lev,forint,3
bulgaria,lev,india,rupee,3
bulgaria,iran,lev,rial,3
bulgaria,lev,japan,yen,3
bulgaria,korea,lev,won,3
bulgaria,lev,latvia,lats,3
bulgaria,lithuania,lev,litas,3
bulgaria,lev,macedonia,denar,3
bulgaria,malaysia,lev,ringgit,3
bulgaria,lev,mexico,peso,3
bulgaria,nigeria,lev,naira,3
bulgaria,lev,poland,zloty,3
bulgaria,romania,lev,leu,3
bulgaria,lev,russia,ruble,3
bulgaria,sweden,lev,krona,3
bulgaria,lev,thailand,baht,3
bulgaria,ukraine,lev,hryvnia,3
bulgaria,lev,usa,dollar,3
bulgaria,vietnam,lev,dong,3
cambodia,riel,canada,dollar,3
cambodia,croatia,riel,kuna,3
cambodia,riel,denmark,krone,3
cambodia,europe,riel,euro,3
cambodia,riel,hungary,forint,3
cambodia,india,riel,rupee,3
cambodia,riel,iran,rial,3
cambodia,japan,riel,yen,3
cambodia,riel,korea,won,3
cambodia,latvia,riel,lats,3
cambodia,riel,lithuania,litas,3
cambodia,macedonia,riel,denar,3
cambodia,riel,malaysia,ringgit,3
cambodia,mexico,riel,peso,3
cambodia,riel,nigeria,naira,3
cambodia,poland,riel,zloty,3
cambodia,riel,romania,leu,3
cambodia,russia,riel,ruble,3
cambodia,riel,sweden,krona,3
cambodia,thailand,riel,baht,3
cambodia,riel,ukraine,hryvnia,3
cambodia,usa,riel,dollar,3
cambodia,riel,vietnam,dong,3
canada,croatia,dollar,kuna,3
canada,dollar,denmark,krone,3
canada,europe,dollar,euro,3
canada,dollar,hungary,forint,3
canada,india,dollar,rupee,3
