boy,girl,brother,sister,5
boy,brothers,girl,sisters,5
boy,girl,dad,mom,5
boy,father,girl,mother,5
boy,girl,grandfather,grandmother,5
boy,grandpa,girl,grandma,5
boy,girl,grandson,granddaughter,5
boy,groom,girl,bride,5
boy,girl,he,she,5
boy,his,girl,her,5
boy,girl,husband,wife,5
boy,king,girl,queen,5
boy,girl,man,woman,5
boy,nephew,girl,niece,5
boy,girl,policeman,policewoman,5
boy,prince,girl,princess,5
boy,girl,son,daughter,5
boy,sons,girl,daughters,5
boy,girl,stepbrother,stepsister,5
boy,stepfather,girl,stepmother,5
boy,girl,stepson,stepdaughter,5
boy,uncle,girl,aunt,5
brother,sister,brothers,sisters,5
brother,dad,sister,mom,5
brother,sister,father,mother,5
brother,grandfather,sister,grandmother,5
brother,sister,grandpa,grandma,5
brother,grandson,sister,granddaughter,5
brother,sister,groom,bride,5
brother,he,sister,she,5
brother,sister,his,her,5
brother,husband,sister,wife,5
brother,sister,king,queen,5
brother,man,sister,woman,5
brother,sister,nephew,niece,5
brother,policeman,sister,policewoman,5
brother,sister,prince,princess,5
brother,son,sister,daughter,5
brother,sister,sons,daughters,5
brother,stepbrother,sister,stepsister,5
brother,sister,stepfather,stepmother,5
brother,stepson,sister,stepdaughter,5
brother,sister,uncle,aunt,5
brothers,dad,sisters,mom,5
brothers,sisters,father,mother,5
brothers,grandfather,sisters,grandmother,5
brothers,sisters,grandpa,grandma,5
brothers,grandson,sisters,granddaughter,5
brothers,sisters,groom,bride,5
brothers,he,sisters,she,5
brothers,sisters,his,her,5
brothers,husband,sisters,wife,5
brothers,sisters,king,queen,5
brothers,man,sisters,woman,5
brothers,sisters,nephew,niece,5
brothers,policeman,sisters,policewoman,5
brothers,sisters,prince,princess,5
brothers,son,sisters,daughter,5
brothers,sisters,sons,daughters,5
brothers,stepbrother,sisters,stepsister,5
brothers,sisters,stepfather,stepmother,5
brothers,stepson,sisters,stepdaughter,5
brothers,sisters,uncle,aunt,5
dad,father,mom,mother,5
dad,mom,grandfather,grandmother,5
dad,grandpa,mom,grandma,5
dad,mom,grandson,granddaughter,5
dad,groom,mom,bride,5
dad,mom,he,she,5
dad,his,mom,her,5
dad,mom,husband,wife,5
dad,king,mom,queen,5
dad,mom,man,woman,5
dad,nephew,mom,niece,5
dad,mom,policeman,policewoman,5
dad,prince,mom,princess,5
dad,mom,son,daughter,5
dad,sons,mom,daughters,5
dad,mom,stepbrother,stepsister,5
dad,stepfather,mom,stepmother,5
dad,mom,stepson,stepdaughter,5
dad,uncle,mom,aunt,5
father,mother,grandfather,grandmother,5
father,grandpa,mother,grandma,5
father,mother,grandson,granddaughter,5
father,groom,mother,bride,5
father,mother,he,she,5
father,his,mother,her,5
father,mother,husband,wife,5
father,king,mother,queen,5
father,mother,man,woman,5
father,nephew,mother,niece,5
father,mother,policeman,policewoman,5
father,prince,mother,princess,5
father,mother,son,daughter,5
father,sons,mother,daughters,5
father,mother,stepbrother,stepsister,5
father,stepfather,mother,stepmother,5
father,mother,stepson,stepdaughter,5
father,uncle,mother,aunt,5
grandfather,grandmother,grandpa,grandma,5
grandfather,grandson,grandmother,granddaughter,5
grandfather,grandmother,groom,bride,5
grandfather,he,grandmother,she,5
grandfather,grandmother,his,her,5
grandfather,husband,grandmother,wife,5
grandfather,grandmother,king,queen,5
grandfather,man,grandmother,woman,5
grandfather,grandmother,nephew,niece,5
grandfather,policeman,grandmother,policewoman,5
grandfather,grandmother,prince,princess,5
grandfather,son,grandmother,daughter,5
grandfather,grandmother,sons,daughters,5
grandfather,stepbrother,grandmother,stepsister,5
grandfather,grandmother,stepfather,stepmother,5
grandfather,stepson,grandmother,stepdaughter,5
grandfather,grandmother,uncle,aunt,5
grandpa,grandson,grandma,granddaughter,5
grandpa,grandma,groom,bride,5
grandpa,he,grandma,she,5
grandpa,grandma,his,her,5
grandpa,husband,grandma,wife,5
grandpa,grandma,king,queen,5
grandpa,man,grandma,woman,5
grandpa,grandma,nephew,niece,5
grandpa,policeman,grandma,policewoman,5
grandpa,grandma,prince,princess,5
grandpa,son,grandma,daughter,5
grandpa,grandma,sons,daughters,5
grandpa,stepbrother,grandma,stepsister,5
grandpa,grandma,stepfather,stepmother,5
grandpa,stepson,grandma,stepdaughter,5
grandpa,grandma,uncle,aunt,5
grandson,groom,granddaughter,bride,5
grandson,granddaughter,he,she,5
grandson,his,granddaughter,her,5
grandson,granddaughter,husband,wife,5
grandson,king,granddaughter,queen,5
grandson,granddaughter,man,woman,5
grandson,nephew,granddaughter,niece,5
grandson,granddaughter,policeman,policewoman,5
grandson,prince,granddaughter,princess,5
grandson,granddaughter,son,daughter,5
grandson,sons,granddaughter,daughters,5
grandson,granddaughter,stepbrother,stepsister,5
grandson,stepfather,granddaughter,stepmother,5
grandson,granddaughter,stepson,stepdaughter,5
grandson,uncle,granddaughter,aunt,5
groom,bride,he,she,5
groom,his,bride,her,5
groom,bride,husband,wife,5
groom,king,bride,queen,5
groom,bride,man,woman,5
groom,nephew,bride,niece,5
groom,bride,policeman,policewoman,5
groom,prince,bride,princess,5
groom,bride,son,daughter,5
groom,sons,bride,daughters,5
groom,bride,stepbrother,stepsister,5
groom,stepfather,bride,stepmother,5
groom,bride,stepson,stepdaughter,5
groom,uncle,bride,aunt,5
he,she,his,her,5
he,husband,she,wife,5
he,she,king,queen,5
he,man,she,woman,5
he,she,nephew,niece,5
he,policeman,she,policewoman,5
he,she,prince,princess,5
he,son,she,daughter,5
he,she,sons,daughters,5
he,stepbrother,she,stepsister,5
he,she,stepfather,stepmother,5
he,stepson,she,stepdaughter,5
he,she,uncle,aunt,5
his,husband,her,wife,5
his,her,king,queen,5
his,man,her,woman,5
his,her,nephew,niece,5
his,policeman,her,policewoman,5
his,her,prince,princess,5
his,son,her,daughter,5
his,her,sons,daughters,5
his,stepbrother,her,stepsister,5
his,her,stepfather,stepmother,5
his,stepson,her,stepdaughter,5
his,her,uncle,aunt,5
husband,king,wife,queen,5
husband,wife,man,woman,5
husband,nephew,wife,niece,5
husband,wife,policeman,policewoman,5
husband,prince,wife,princess,5
husband,wife,son,daughter,5
husband,sons,wife,daughters,5
husband,wife,stepbrother,stepsister,5
husband,stepfather,wife,stepmother,5
husband,wife,stepson,stepdaughter,5
husband,uncle,wife,aunt,5
king,queen,man,woman,5
king,nephew,queen,niece,5
king,queen,policeman,policewoman,5
king,prince,queen,princess,5
king,queen,son,daughter,5
king,sons,queen,daughters,5
king,queen,stepbrother,stepsister,5
king,stepfather,queen,stepmother,5
king,queen,stepson,stepdaughter,5
king,uncle,queen,aunt,5
man,woman,nephew,niece,5
man,policeman,woman,policewoman,5
man,woman,prince,princess,5
man,son,woman,daughter,5
man,woman,sons,daughters,5
man,stepbrother,woman,stepsister,5
man,woman,stepfather,stepmother,5
man,stepson,woman,stepdaughter,5
man,woman,uncle,aunt,5
nephew,policeman,niece,policewoman,5
nephew,niece,prince,princess,5
nephew,son,niece,daughter,5
nephew,niece,sons,daughters,5
nephew,stepbrother,niece,stepsister,5
nephew,niece,stepfather,stepmother,5
nephew,stepson,niece,stepdaughter,5
nephew,niece,uncle,aunt,5
policeman,prince,policewoman,princess,5
policeman,policewoman,son,daughter,5
policeman,sons,policewoman,daughters,5
policeman,policewoman,stepbrother,stepsister,5
policeman,stepfather,policewoman,stepmother,5
policeman,policewoman,stepson,stepdaughter,5
policeman,uncle,policewoman,aunt,5
prince,princess,son,daughter,5
prince,sons,princess,daughters,5
