acceptable,unacceptable,aware,unaware,7
acceptable,certain,unacceptable,uncertain,7
acceptable,unacceptable,clear,unclear,7
acceptable,comfortable,unacceptable,uncomfortable,7
acceptable,unacceptable,competitive,uncompetitive,7
acceptable,consistent,unacceptable,inconsistent,7
acceptable,unacceptable,convincing,unconvincing,7
acceptable,convenient,unacceptable,inconvenient,7
acceptable,unacceptable,decided,undecided,7
acceptable,efficient,unacceptable,inefficient,7
acceptable,unacceptable,ethical,unethical,7
acceptable,fortunate,unacceptable,unfortunate,7
acceptable,unacceptable,honest,dishonest,7
acceptable,impressive,unacceptable,unimpressive,7
acceptable,unacceptable,informative,uninformative,7
acceptable,informed,unacceptable,uninformed,7
acceptable,unacceptable,known,unknown,7
acceptable,likely,unacceptable,unlikely,7
acceptable,unacceptable,logical,illogical,7
acceptable,pleasant,unacceptable,unpleasant,7
acceptable,unacceptable,possible,impossible,7
acceptable,possibly,unacceptable,impossibly,7
acceptable,unacceptable,productive,unproductive,7
acceptable,rational,unacceptable,irrational,7
acceptable,unacceptable,reasonable,unreasonable,7
acceptable,responsible,unacceptable,irresponsible,7
acceptable,unacceptable,sure,unsure,7
acceptable,tasteful,unacceptable,distasteful,7
aware,unaware,certain,uncertain,7
aware,clear,unaware,unclear,7
aware,unaware,comfortable,uncomfortable,7
aware,competitive,unaware,uncompetitive,7
aware,unaware,consistent,inconsistent,7
aware,convincing,unaware,unconvincing,7
aware,unaware,convenient,inconvenient,7
aware,decided,unaware,undecided,7
aware,unaware,efficient,inefficient,7
aware,ethical,unaware,unethical,7
aware,unaware,fortunate,unfortunate,7
aware,honest,unaware,dishonest,7
aware,unaware,impressive,unimpressive,7
aware,informative,unaware,uninformative,7
aware,unaware,informed,uninformed,7
aware,known,unaware,unknown,7
aware,unaware,likely,unlikely,7
aware,logical,unaware,illogical,7
aware,unaware,pleasant,unpleasant,7
aware,possible,unaware,impossible,7
aware,unaware,possibly,impossibly,7
aware,productive,unaware,unproductive,7
aware,unaware,rational,irrational,7
