bad,worse,big,bigger,8
bad,bright,worse,brighter,8
bad,worse,cheap,cheaper,8
bad,cold,worse,colder,8
bad,worse,cool,cooler,8
bad,deep,worse,deeper,8
bad,worse,easy,easier,8
bad,fast,worse,faster,8
bad,worse,good,better,8
bad,great,worse,greater,8
bad,worse,hard,harder,8
bad,heavy,worse,heavier,8
bad,worse,high,higher,8
bad,hot,worse,hotter,8
bad,worse,large,larger,8
bad,long,worse,longer,8
bad,worse,loud,louder,8
bad,low,worse,lower,8
bad,worse,new,newer,8
bad,old,worse,older,8
bad,worse,quick,quicker,8
bad,safe,worse,safer,8
bad,worse,sharp,sharper,8
bad,short,worse,shorter,8
bad,worse,simple,simpler,8
bad,slow,worse,slower,8
bad,worse,small,smaller,8
bad,smart,worse,smarter,8
bad,worse,strong,stronger,8
bad,tall,worse,taller,8
bad,worse,tight,tighter,8
bad,tough,worse,tougher,8
bad,worse,warm,warmer,8
bad,weak,worse,weaker,8
bad,worse,wide,wider,8
bad,young,worse,younger,8
big,bigger,bright,brighter,8
big,cheap,bigger,cheaper,8
big,bigger,cold,colder,8
big,cool,bigger,cooler,8
big,bigger,deep,deeper,8
big,easy,bigger,easier,8
big,bigger,fast,faster,8
big,good,bigger,better,8
big,bigger,great,greater,8
big,hard,bigger,harder,8
big,bigger,heavy,heavier,8
big,high,bigger,higher,8
big,bigger,hot,hotter,8
big,large,bigger,larger,8
big,bigger,long,longer,8
big,loud,bigger,louder,8
big,bigger,low,lower,8
big,new,bigger,newer,8
big,bigger,old,older,8
big,quick,bigger,quicker,8
big,bigger,safe,safer,8
big,sharp,bigger,sharper,8
big,bigger,short,shorter,8
big,simple,bigger,simpler,8
big,bigger,slow,slower,8
big,small,bigger,smaller,8
big,bigger,smart,smarter,8
big,strong,bigger,stronger,8
big,bigger,tall,taller,8
big,tight,bigger,tighter,8
big,bigger,tough,tougher,8
big,warm,bigger,warmer,8
big,bigger,weak,weaker,8
big,wide,bigger,wider,8
big,bigger,young,younger,8
bright,cheap,brighter,cheaper,8
bright,brighter,cold,colder,8
bright,cool,brighter,cooler,8
bright,brighter,deep,deeper,8
bright,easy,brighter,easier,8
bright,brighter,fast,faster,8
bright,good,brighter,better,8
bright,brighter,great,greater,8
bright,hard,brighter,harder,8
bright,brighter,heavy,heavier,8
bright,high,brighter,higher,8
bright,brighter,hot,hotter,8
bright,large,brighter,larger,8
bright,brighter,long,longer,8
bright,loud,brighter,louder,8
bright,brighter,low,lower,8
bright,new,brighter,newer,8
bright,brighter,old,older,8
bright,quick,brighter,quicker,8
bright,brighter,safe,safer,8
bright,sharp,brighter,sharper,8
bright,brighter,short,shorter,8
bright,simple,brighter,simpler,8
bright,brighter,slow,slower,8
bright,small,brighter,smaller,8
bright,brighter,smart,smarter,8
bright,strong,brighter,stronger,8
bright,brighter,tall,taller,8
bright,tight,brighter,tighter,8
bright,brighter,tough,tougher,8
bright,warm,brighter,warmer,8
bright,brighter,weak,weaker,8
bright,wide,brighter,wider,8
bright,brighter,young,younger,8
cheap,cold,cheaper,colder,8
cheap,cheaper,cool,cooler,8
cheap,deep,cheaper,deeper,8
cheap,cheaper,easy,easier,8
cheap,fast,cheaper,faster,8
cheap,cheaper,good,better,8
cheap,great,cheaper,greater,8
cheap,cheaper,hard,harder,8
cheap,heavy,cheaper,heavier,8
cheap,cheaper,high,higher,8
cheap,hot,cheaper,hotter,8
cheap,cheaper,large,larger,8
cheap,long,cheaper,longer,8
cheap,cheaper,loud,louder,8
cheap,low,cheaper,lower,8
cheap,cheaper,new,newer,8
cheap,old,cheaper,older,8
cheap,cheaper,quick,quicker,8
cheap,safe,cheaper,safer,8
cheap,cheaper,sharp,sharper,8
cheap,short,cheaper,shorter,8
cheap,cheaper,simple,simpler,8
cheap,slow,cheaper,slower,8
cheap,cheaper,small,smaller,8
cheap,smart,cheaper,smarter,8
cheap,cheaper,strong,stronger,8
cheap,tall,cheaper,taller,8
cheap,cheaper,tight,tighter,8
cheap,tough,cheaper,tougher,8
cheap,cheaper,warm,warmer,8
cheap,weak,cheaper,weaker,8
cheap,cheaper,wide,wider,8
cheap,young,cheaper,younger,8
cold,colder,cool,cooler,8
cold,deep,colder,deeper,8
cold,colder,easy,easier,8
cold,fast,colder,faster,8
cold,colder,good,better,8
cold,great,colder,greater,8
cold,colder,hard,harder,8
cold,heavy,colder,heavier,8
cold,colder,high,higher,8
cold,hot,colder,hotter,8
cold,colder,large,larger,8
cold,long,colder,longer,8
cold,colder,loud,louder,8
cold,low,colder,lower,8
cold,colder,new,newer,8
cold,old,colder,older,8
cold,colder,quick,quicker,8
cold,safe,colder,safer,8
cold,colder,sharp,sharper,8
cold,short,colder,shorter,8
cold,colder,simple,simpler,8
cold,slow,colder,slower,8
cold,colder,small,smaller,8
cold,smart,colder,smarter,8
cold,colder,strong,stronger,8
cold,tall,colder,taller,8
cold,colder,tight,tighter,8
cold,tough,colder,tougher,8
cold,colder,warm,warmer,8
cold,weak,colder,weaker,8
cold,colder,wide,wider,8
cold,young,colder,younger,8
cool,cooler,deep,deeper,8
cool,easy,cooler,easier,8
cool,cooler,fast,faster,8
cool,good,cooler,better,8
cool,cooler,great,greater,8
cool,hard,cooler,harder,8
cool,cooler,heavy,heavier,8
cool,high,cooler,higher,8
cool,cooler,hot,hotter,8
cool,large,cooler,larger,8
cool,cooler,long,longer,8
cool,loud,cooler,louder,8
cool,cooler,low,lower,8
cool,new,cooler,newer,8
cool,cooler,old,older,8
cool,quick,cooler,quicker,8
cool,cooler,safe,safer,8
cool,sharp,cooler,sharper,8
cool,cooler,short,shorter,8
cool,simple,cooler,simpler,8
cool,cooler,slow,slower,8
cool,small,cooler,smaller,8
cool,cooler,smart,smarter,8
cool,strong,cooler,stronger,8
cool,cooler,tall,taller,8
cool,tight,cooler,tighter,8
cool,cooler,tough,tougher,8
cool,warm,cooler,warmer,8
cool,cooler,weak,weaker,8
cool,wide,cooler,wider,8
cool,cooler,young,younger,8
deep,easy,deeper,easier,8
deep,deeper,fast,faster,8
deep,good,deeper,better,8
deep,deeper,great,greater,8
deep,hard,deeper,harder,8
deep,deeper,heavy,heavier,8
deep,high,deeper,higher,8
deep,deeper,hot,hotter,8
deep,large,deeper,larger,8
deep,deeper,long,longer,8
deep,loud,deeper,louder,8
deep,deeper,low,lower,8
deep,new,deeper,newer,8
deep,deeper,old,older,8
deep,quick,deeper,quicker,8
deep,deeper,safe,safer,8
deep,sharp,deeper,sharper,8
deep,deeper,short,shorter,8
deep,simple,deeper,simpler,8
deep,deeper,slow,slower,8
deep,small,deeper,smaller,8
deep,deeper,smart,smarter,8
deep,strong,deeper,stronger,8
deep,deeper,tall,taller,8
deep,tight,deeper,tighter,8
deep,deeper,tough,tougher,8
deep,warm,deeper,warmer,8
