bad,worst,big,biggest,9
bad,bright,worst,brightest,9
bad,worst,cold,coldest,9
bad,cool,worst,coolest,9
bad,worst,dark,darkest,9
bad,easy,worst,easiest,9
bad,worst,fast,fastest,9
bad,good,worst,best,9
bad,worst,great,greatest,9
bad,high,worst,highest,9
bad,worst,hot,hottest,9
bad,large,worst,largest,9
bad,worst,long,longest,9
bad,low,worst,lowest,9
bad,worst,lucky,luckiest,9
bad,old,worst,oldest,9
bad,worst,quick,quickest,9
bad,sharp,worst,sharpest,9
bad,worst,simple,simplest,9
bad,short,worst,shortest,9
bad,worst,slow,slowest,9
bad,small,worst,smallest,9
bad,worst,smart,smartest,9
bad,strange,worst,strangest,9
bad,worst,strong,strongest,9
bad,sweet,worst,sweetest,9
bad,worst,tall,tallest,9
bad,tasty,worst,tastiest,9
bad,worst,warm,warmest,9
bad,weak,worst,weakest,9
bad,worst,weird,weirdest,9
bad,wide,worst,widest,9
bad,worst,young,youngest,9
big,bright,biggest,brightest,9
big,biggest,cold,coldest,9
big,cool,biggest,coolest,9
big,biggest,dark,darkest,9
big,easy,biggest,easiest,9
big,biggest,fast,fastest,9
big,good,biggest,best,9
big,biggest,great,greatest,9
big,high,biggest,highest,9
big,biggest,hot,hottest,9
big,large,biggest,largest,9
big,biggest,long,longest,9
big,low,biggest,lowest,9
big,biggest,lucky,luckiest,9
big,old,biggest,oldest,9
big,biggest,quick,quickest,9
big,sharp,biggest,sharpest,9
big,biggest,simple,simplest,9
big,short,biggest,shortest,9
big,biggest,slow,slowest,9
big,small,biggest,smallest,9
big,biggest,smart,smartest,9
big,strange,biggest,strangest,9
big,biggest,strong,strongest,9
big,sweet,biggest,sweetest,9
big,biggest,tall,tallest,9
big,tasty,biggest,tastiest,9
big,biggest,warm,warmest,9
big,weak,biggest,weakest,9
big,biggest,weird,weirdest,9
big,wide,biggest,widest,9
big,biggest,young,youngest,9
bright,cold,brightest,coldest,9
bright,brightest,cool,coolest,9
bright,dark,brightest,darkest,9
bright,brightest,easy,easiest,9
bright,fast,brightest,fastest,9
bright,brightest,good,best,9
bright,great,brightest,greatest,9
bright,brightest,high,highest,9
bright,hot,brightest,hottest,9
bright,brightest,large,largest,9
bright,long,brightest,longest,9
bright,brightest,low,lowest,9
bright,lucky,brightest,luckiest,9
bright,brightest,old,oldest,9
bright,quick,brightest,quickest,9
bright,brightest,sharp,sharpest,9
bright,simple,brightest,simplest,9
bright,brightest,short,shortest,9
bright,slow,brightest,slowest,9
bright,brightest,small,smallest,9
bright,smart,brightest,smartest,9
